ID,0007CB0CDD,0007CB0F67,0007CB48B4,0007CB6DFA,0007F29741,0007F2B88A,0007F2C687,0007F2EEFA,0007F2F26A,0007F2F283
0007CB0CDD,0,42.0699019666667,34.1244422285714,0,47.4053178,57.2808116,58.2107206,3.63026396,79.14937885,0
0007CB0F67,42.0699019666667,0,39.2965545666667,74.64874415,0,18.61773275,0,30.914288,0,0
0007CB48B4,34.1244422285714,39.2965545666667,0,41.8968779,0,57.74100375,68.7141537,3.16525553333333,0,0
0007CB6DFA,0,74.64874415,41.8968779,0,1.5682936,0,78.5221856,0,0,1.35239449090909
0007F29741,47.4053178,0,0,1.5682936,0,0,3.5301179,49.8678540333333,76.2291808666667,0
0007F2B88A,57.2808116,18.61773275,57.74100375,0,0,0,1.34531266666667,0,32.3894185333333,0
0007F2C687,58.2107206,0,68.7141537,78.5221856,3.5301179,1.34531266666667,0,0,32.0300391636364,0
0007F2EEFA,3.63026396,30.914288,3.16525553333333,0,49.8678540333333,0,0,0,59.3059005666667,0
0007F2F26A,79.14937885,0,0,0,76.2291808666667,32.3894185333333,32.0300391636364,59.3059005666667,0,1.7614603
0007F2F283,0,0,0,1.35239449090909,0,0,0,0,1.7614603,0
