ID,0007CB0CDD,0007CB0F67,0007CB48B4,0007CB6DFA,0007F29741,0007F2B88A,0007F2C687,0007F2EEFA,0007F2F26A,0007F2F283
0007CB0CDD,0,1.37115890144408,3.27387356923082,0,0.713782104844919,1.47855578142384,0.419785219541098,3.06249027797062,0.614109450385571,0
0007CB0F67,1.37115890144408,0,2.14675273293925,1.97551148868469,0,3.18768279633632,0,0.69082502500861,0,0
0007CB48B4,3.27387356923082,2.14675273293925,0,1.32901806666247,0,1.50666713742863,0.320363097335821,1.73954092315726,0,0
0007CB6DFA,0,1.97551148868469,1.32901806666247,0,2.07570365085131,0,0.415586484725103,0,0,5.78439547568406
0007F29741,0.713782104844919,0,0,2.07570365085131,0,0,1.10772990760673,2.32252911320031,2.77492116803619,0
0007F2B88A,1.47855578142384,3.18768279633632,1.50666713742863,0,0,0,3.27602722599927,0,0.712011702297774,0
0007F2C687,0.419785219541098,0,0.320363097335821,0.415586484725103,1.10772990760673,3.27602722599927,0,0,3.18638720829523,0
0007F2EEFA,3.06249027797062,0.69082502500861,1.73954092315726,0,2.32252911320031,0,0,0,1.50945217024393,0
0007F2F26A,0.614109450385571,0,0,0,2.77492116803619,0.712011702297774,3.18638720829523,1.50945217024393,0,2.16562531770258
0007F2F283,0,0,0,5.78439547568406,0,0,0,0,2.16562531770258,0
