ID,0007AC2B02,0007CB0942,0007CB44CE,0007CB7051,0007CD6778,0007CD765E,0007CD77C5,0007CDADED,0007CDC443,0007CDDBAF
0007AC2B02,0,172,177,276,124,343,421,192,203,240
0007CB0942,172,0,127,134,53,78,313,293,77,69
0007CB44CE,177,127,0,164,67,42,190,77,83,87
0007CB7051,276,134,164,0,119,108,188,94,97,264
0007CD6778,124,53,67,119,0,46,117,39,64,29
0007CD765E,343,78,42,108,46,0,90,55,57,56
0007CD77C5,421,313,190,188,117,90,0,269,206,123
0007CDADED,192,293,77,94,39,55,269,0,429,91
0007CDC443,203,77,83,97,64,57,206,429,0,153
0007CDDBAF,240,69,87,264,29,56,123,91,153,0
