ID,0007AC2B02,0007CB0942,0007CB44CE,0007CB7051,0007CD6778,0007CD765E,0007CD77C5,0007CDADED,0007CDC443,0007CDDBAF
0007AC2B02,0,32,42,62,30,57,132,69,33,33
0007CB0942,49,0,21,27,16,23,74,61,6,8
0007CB44CE,65,34,0,40,18,6,55,24,16,16
0007CB7051,69,42,36,0,34,37,40,20,26,48
0007CD6778,43,18,16,22,0,19,36,11,11,9
0007CD765E,47,24,9,22,6,0,24,12,15,16
0007CD77C5,122,87,48,47,27,19,0,73,42,16
0007CDADED,51,77,8,24,16,18,83,0,53,19
0007CDC443,46,21,21,20,21,17,41,109,0,37
0007CDDBAF,62,27,30,53,6,21,49,24,27,0
