ID,0007CA3A72,0007CB0B74,0007CB0DBC,0007CB2407,0007F2B3FF,0007F2B59E,0007F2B8A2,0007F2B9FC,0007F2E37E,0007F2E3D4
0007CA3A72,0,0,0,0.0493609730661587,0.0136846405228758,0.0193074988256141,0.0799649893102607,0.0233068958511425,0.0113920881321983,0.0457073724347425
0007CB0B74,0,0,0.161750089698489,0.0221930169946047,0.124250499666889,0.0207759168963324,0,0,0.0196571788016984,0.0111780821917808
0007CB0DBC,0,0.488467382369791,0,0.0184349134687735,0.0527711215892403,0.119989534586408,0.0949091013444678,0.0256145852100879,0.292223540946386,0.0288634771762785
0007CB2407,0.147563148183496,0.051946596258749,0.0181235359388485,0,0.0684232026143792,0.107817545028037,0.116912745899875,0.0376440045432419,0.087592388740368,0.288878234780752
0007F2B3FF,0.0448460508701473,0.123755806237558,0.0281550154858772,0.102321319486866,0,0.0380144256212353,0.0176586003924133,0.192358558192489,0.0675632226795859,0.00500643684737519
0007F2B59E,0.0516478971813959,0.0539647577092509,0.0832195777778694,0.0964765725596195,0.0494164025662828,0,0.152961380246815,0.0568910594287511,0.0746679891993167,0.021683190938681
0007F2B8A2,0.177292104091112,0,0.0545573018694402,0.0867076012812464,0.0165441176470588,0.133669154301204,0,0.022550225502255,0.0557085628442665,0.0519812271285222
0007F2B9FC,0.096710568174588,0,0.0275570255568523,0.0290945573112616,0.387879724820283,0.0882484108626236,0.0479616306954435,0,0.102280097155283,0.320038603084848
0007F2E37E,0.0609103078982597,0.0414731254147313,0.295270869179832,0.0698520190619513,0.125101059842126,0.1047433297854,0.0970132984521473,0.0924954095381938,0,0.064654555857531
0007F2E3D4,0.194105109117516,0.0338420703384207,0.0317800716763101,0.410365963967607,0.0071486928104575,0.0344228859567231,0.099565236106926,0.331934120698831,0.0565848773159739,0
