ID,0007CA3A72,0007CB0B74,0007CB0DBC,0007CB2407,0007F2B3FF,0007F2B59E,0007F2B8A2,0007F2B9FC,0007F2E37E,0007F2E3D4
0007CA3A72,0,77,48,48,43,29,30,120,76,77
0007CB0B74,77,0,325,87,72,14,59,54,115,156
0007CB0DBC,48,325,0,267,244,102,184,264,483,366
0007CB2407,48,87,267,0,102,44,128,74,142,259
0007F2B3FF,43,72,244,102,0,92,57,160,236,190
0007F2B59E,29,14,102,44,92,0,42,54,66,69
0007F2B8A2,30,59,184,128,57,42,0,40,70,203
0007F2B9FC,120,54,264,74,160,54,40,0,175,271
0007F2E37E,76,115,483,142,236,66,70,175,0,325
0007F2E3D4,77,156,366,259,190,69,203,271,325,0
