ID,0007CA3A3A,0007CB0942,0007CB2302,0007CB30A6,0007CB3713,0007CB47A6,0007CDDBAF,0007CDE223,0007CDEC0B,0007CE0327
0007CA3A3A,0,399.566666666667,847.866666666667,232.566666666667,387.433333333333,602.3,1184.03333333333,740.233333333333,1314.36666666667,343.833333333334
0007CB0942,399.566666666667,0,53.2333333333333,306.166666666667,177.566666666667,210.5,901.466666666665,628.966666666666,559.8,200.4
0007CB2302,847.866666666667,53.2333333333333,0,323.533333333333,117.8,131.1,361.466666666667,224.8,279.166666666667,193.433333333333
0007CB30A6,232.566666666667,306.166666666667,323.533333333333,0,73.1333333333334,158.3,246.6,229.266666666667,109.266666666667,102.433333333333
0007CB3713,387.433333333333,177.566666666667,117.8,73.1333333333334,0,335.133333333333,679.533333333333,387.8,591.200000000001,263
0007CB47A6,602.3,210.5,131.1,158.3,335.133333333333,0,1039.7,1027.53333333333,915.3,669.9
0007CDDBAF,1184.03333333333,901.466666666665,361.466666666667,246.6,679.533333333333,1039.7,0,3173.76666666667,1381.73333333333,430.333333333333
0007CDE223,740.233333333333,628.966666666666,224.8,229.266666666667,387.8,1027.53333333333,3173.76666666667,0,2157,638.966666666667
0007CDEC0B,1314.36666666667,559.8,279.166666666667,109.266666666667,591.200000000001,915.3,1381.73333333333,2157,0,323.8
0007CE0327,343.833333333334,200.4,193.433333333333,102.433333333333,263,669.9,430.333333333333,638.966666666667,323.8,0
