ID,0007CA3A72,0007CB0B74,0007CB0DBC,0007CB2407,0007F2B3FF,0007F2B59E,0007F2B8A2,0007F2B9FC,0007F2E37E,0007F2ED4
0007CA3A72,0,67,49,33,100,95,84,80,77,32
0007CB0B74,67,0,109,18,59,100,92,55,61,21
0007CB0DBC,49,109,0,19,50,115,61,68,100,25
0007CB2407,33,18,19,0,19,15,44,29,19,16
0007F2B3FF,100,59,50,19,0,92,89,69,102,46
0007F2B59E,95,100,115,15,92,0,121,115,135,72
0007F2B8A2,84,92,61,44,89,121,0,135,83,43
0007F2B9FC,80,55,68,29,69,115,135,0,45,57
0007F2E37E,77,61,100,19,102,135,83,45,0,28
0007F2ED4,32,21,25,16,46,72,43,57,28,0
