ID,0006CB224,0007ABF555,0007AC2B02,0007ACA781,0007CB7051,0007CD6778,0007CD765E,0007CDADED,0007CDC443,0007CDEAA7
0006CB224,0,1.93333333333333,0,0,1.69444444444444,0,0,0,1.84871794871795,1.76111111111111
0007ABF555,1.93333333333333,0,0,1.74933333333333,1.66333333333333,2.55333333333333,1.28333333333333,1.88571428571429,0,1.60909090909091
0007AC2B02,0,0,0,1.95,2.04206349206349,1.61333333333333,0,0,1.8625,0
0007ACA781,0,1.74933333333333,1.95,0,1.71666666666667,2.5952380952381,0,1.57575757575758,1.6047619047619,2.30833333333333
0007CB7051,1.69444444444444,1.66333333333333,2.04206349206349,1.71666666666667,0,2.15882352941176,1.9125,1.46666666666667,1.78888888888889,2.19
0007CD6778,0,2.55333333333333,1.61333333333333,2.5952380952381,2.15882352941176,0,0,0,1.92857142857143,3.32716049382716
0007CD765E,0,1.28333333333333,0,0,1.9125,0,0,1.14444444444444,0,1.73333333333333
0007CDADED,0,1.88571428571429,0,1.57575757575758,1.46666666666667,0,1.14444444444444,0,2.524,0
0007CDC443,1.84871794871795,0,1.8625,1.6047619047619,1.78888888888889,1.92857142857143,0,2.524,0,0
0007CDEAA7,1.76111111111111,1.60909090909091,0,2.30833333333333,2.19,3.32716049382716,1.73333333333333,0,0,0
