ID,0006CB224,0007ABF555,0007AC2B02,0007ACA781,0007CB7051,0007CD6778,0007CD765E,0007CDADED,0007CDC443,0007CDEAA7
0006CB224,0,0,0.523788433409479,0.360048087297259,0.790398440090051,0,0,0,6.60089987294538,0
0007ABF555,0,0,0,1.73492999927911,2.2435984137066,0,0,0,1.24018002612158,0.705310109216024
0007AC2B02,0.523788433409479,0,0,1.53625570755936,1.55845807851046,2.02830789990678,1.1498634213449,0.674543185074496,0.164501696759539,1.58524186650069
0007ACA781,0.360048087297259,1.73492999927911,1.53625570755936,0,1.19283852199797,1.89754394522118,0.633420109837442,0.864671838338588,0.254619179401598,1.89596738834584
0007CB7051,0.790398440090051,2.2435984137066,1.55845807851046,1.19283852199797,0,1.54581720140601,3.01894592573509,0.273781254028412,0.464007112350887,1.34336727966507
0007CD6778,0,0,2.02830789990678,1.89754394522118,1.54581720140601,0,0,0,0,0.714289420257515
0007CD765E,0,0,1.1498634213449,0.633420109837442,3.01894592573509,0,0,0,0,1.28793377507875
0007CDADED,0,0,0.674543185074496,0.864671838338588,0.273781254028412,0,0,0,5.6381059030207,0.558934982843845
0007CDC443,6.60089987294538,1.24018002612158,0.164501696759539,0.254619179401598,0.464007112350887,0,0,5.6381059030207,0,0.454083405526116
0007CDEAA7,0,0.705310109216024,1.58524186650069,1.89596738834584,1.34336727966507,0.714289420257515,1.28793377507875,0.558934982843845,0.454083405526116,0
