ID,0006CB224,0007ABF555,0007AC2B02,0007ACA781,0007CB7051,0007CD6778,0007CD765E,0007CDADED,0007CDC443,0007CDEAA7
0006CB224,0,0.0752523707555825,0.0278351698806245,0.0353581142339075,0.0882861766839667,0.191587133262637,0,0.00844367683745924,0.0304305021032846,0.0704540108209834
0007ABF555,0.0854166666666667,0,0.0403466483011937,0.157852321950237,0.017579105976896,0.0929657122658183,0.0149310872894334,0.119170984455959,0.0273874518929563,0
0007AC2B02,0.168402777777778,0.215050474151116,0,0.280850206507505,0.461911937050059,0.123718628490633,0,0.162924582613702,0.444106327754408,0.0889202540578687
0007ACA781,0.121875,0.479351483634137,0.160009182736455,0,0.116915006417769,0.119476846942383,0.0298621745788668,0.322394933793898,0.142933858408664,0.21853681486709
0007CB7051,0.549305555555555,0.0963597430406849,0.475034435261708,0.21104059635338,0,0.258748674443266,0.94333843797856,0.159662252926501,0.281124138548286,0.353681486709008
0007CD6778,0.188194444444445,0.0804527378403179,0.020087235996327,0.0340485544474666,0.0408504938891679,0,0,0,0.0421551955607268,0.0849211950129383
0007CD765E,0,0.0119302539002753,0,0.00785735871864612,0.137507673419276,0,0,0,0.0213013514722993,0.0182310044695366
0007CDADED,0.0152777777777778,0.189966350565922,0.0487258953168044,0.169235418555455,0.0464311624532618,0,0,0,0.0520898594826815,0.209832980475182
0007CDC443,0.118055555555555,0.0936066075252368,0.284779614325069,0.16087438299587,0.175288799598192,0.166489925768823,0.0911179173047472,0.111686816350029,0,0.185250529287227
0007CDEAA7,0.207986111111111,0,0.0433884297520661,0.187166314092878,0.167810703722305,0.255213856486391,0.0593415007656968,0.34235271540971,0.140964825919628,0
