ID,0006CB224,0007ABF555,0007AC2B02,0007ACA781,0007CB7051,0007CD6778,0007CD765E,0007CDADED,0007CDC443,0007CDEAA7
0006CB224,0,2.196,0,1.6,4.19298245614035,2.37333333333333,0,2.32083333333333,3.47333333333333,2.94814814814815
0007ABF555,2.196,0,1.94266666666667,1.7015873015873,2.3,2.375,1.2,5.153125,2.92777777777778,5.12121212121212
0007AC2B02,0,1.94266666666667,0,2.49714285714286,2.35115740740741,2.89047619047619,1.71904761904762,2.91190476190476,2.21818181818182,2.51333333333333
0007ACA781,1.6,1.7015873015873,2.49714285714286,0,2.06484848484848,1.86060606060606,1.53333333333333,3.75480225988701,2.1462962962963,2.20181818181818
0007CB7051,4.19298245614035,2.3,2.35115740740741,2.06484848484848,0,3.61358024691358,3.65866666666667,1.58947368421053,2.24121212121212,2.1037037037037
0007CD6778,2.37333333333333,2.375,2.89047619047619,1.86060606060606,3.61358024691358,0,0,1.68333333333333,1.44444444444444,3.21666666666667
0007CD765E,0,1.2,1.71904761904762,1.53333333333333,3.65866666666667,0,0,3.46666666666667,0,0
0007CDADED,2.32083333333333,5.153125,2.91190476190476,3.75480225988701,1.58947368421053,1.68333333333333,3.46666666666667,0,2.07833333333333,2.82666666666667
0007CDC443,3.47333333333333,2.92777777777778,2.21818181818182,2.1462962962963,2.24121212121212,1.44444444444444,0,2.07833333333333,0,2.27222222222222
0007CDEAA7,2.94814814814815,5.12121212121212,2.51333333333333,2.20181818181818,2.1037037037037,3.21666666666667,0,2.82666666666667,2.27222222222222,0
