ID,0006CB224,0007ABF555,0007AC2B02,0007ACA781,0007CB7051,0007CD6778,0007CD765E,0007CDADED,0007CDC443,0007CDEAA7
0006CB224,0,23.3333333333333,0,8.6,17.2333333333333,11.6666666666667,0,23.5666666666667,220.9,4.83333333333333
0007ABF555,23.3333333333333,0,22.3666666666667,95.6,15.8666666666667,5.73333333333333,1.03333333333333,388.033333333333,33.2333333333333,30.3
0007AC2B02,0,22.3666666666667,0,52.5,79.2,10.5,0,35.2333333333333,49.5,12.3333333333333
0007ACA781,8.6,95.6,52.5,0,94.8,35.3,2.4,418.2,182.966666666667,206.533333333333
0007CB7051,17.2333333333333,15.8666666666667,79.2,94.8,0,22.3333333333333,31.3666666666667,34.9666666666667,41.3,40.7333333333333
0007CD6778,11.6666666666667,5.73333333333333,10.5,35.3,22.3333333333333,0,0,59.7,48.7666666666667,78.6333333333333
0007CD765E,0,1.03333333333333,0,2.4,31.3666666666667,0,0,8.73333333333333,0,30.2333333333333
0007CDADED,23.5666666666667,388.033333333333,35.2333333333333,418.2,34.9666666666667,59.7,8.73333333333333,0,171.733333333333,196.6
0007CDC443,220.9,33.2333333333333,49.5,182.966666666667,41.3,48.7666666666667,0,171.733333333333,0,50.6666666666667
0007CDEAA7,4.83333333333333,30.3,12.3333333333333,206.533333333333,40.7333333333333,78.6333333333333,30.2333333333333,196.6,50.6666666666667,0
