ID,0007CB0DBC,0007CB1E1F,0007CB321B,0007F29741,0007F2B770,0007F2B9FC,0007F2CA05,0007F2E37E,0007F2EEFA,0007F2F283
0007CB0DBC,0,0,0,0,0,0,0,0,0,0
0007CB1E1F,0,0,0,0,0,0,0,0,0,0
0007CB321B,0,0,0,0,0,0,0,0,0,0
0007F29741,0,0,0,0,0,0,0,0,0,0
0007F2B770,0,0,0,1,0,0,0,2,0,1
0007F2B9FC,0,0,0,0,0,0,0,0,0,0
0007F2CA05,0,0,0,0,0,0,0,0,0,1
0007F2E37E,0,0,1,1,0,1,2,0,0,1
0007F2EEFA,0,0,0,0,0,0,1,2,0,0
0007F2F283,0,0,0,0,0,0,0,0,0,0
