ID,0007CB0A48,0007CB0AD4,0007CB2ED2,0007CB321B,0007CB39C9,0007CB464C,0007F2B770,0007F2B957,0007F2BA9B,0007F2CA05
0007CB0A48,0,279.733333333333,465.166666666667,58.0333333333333,81.4666666666667,331.2,73.6,559.166666666666,46.6,71.0666666666667
0007CB0AD4,279.733333333333,0,482.333333333333,62.8000000000001,123.966666666667,157.666666666667,98.2,198.366666666667,117.6,73.3666666666667
0007CB2ED2,465.166666666667,482.333333333333,0,108.3,299.733333333334,266.066666666667,57.8333333333334,381.666666666666,215.133333333333,84.1
0007CB321B,58.0333333333333,62.8000000000001,108.3,0,9.2,66.2666666666667,17.4,110.566666666667,64.2,2.43333333333333
0007CB39C9,81.4666666666667,123.966666666667,299.733333333334,9.2,0,60.2,22.4333333333333,56.1333333333333,74.4333333333334,40.1333333333334
0007CB464C,331.2,157.666666666667,266.066666666667,66.2666666666667,60.2,0,173.233333333333,774.2,24.7333333333334,51.6333333333333
0007F2B770,73.6,98.2,57.8333333333334,17.4,22.4333333333333,173.233333333333,0,373.133333333333,94.6,58.4666666666666
0007F2B957,559.166666666666,198.366666666667,381.666666666666,110.566666666667,56.1333333333333,774.2,373.133333333333,0,41.4,43.5666666666666
0007F2BA9B,46.6,117.6,215.133333333333,64.2,74.4333333333334,24.7333333333334,94.6,41.4,0,34.4
0007F2CA05,71.0666666666667,73.3666666666667,84.1,2.43333333333333,40.1333333333334,51.6333333333333,58.4666666666666,43.5666666666666,34.4,0
