ID,0007CB0A48,0007CB0AD4,0007CB2ED2,0007CB321B,0007CB39C9,0007CB464C,0007F2B770,0007F2B957,0007F2BA9B,0007F2CA05
0007CB0A48,0,0.211812216052499,0.249535083327373,0.162953949831524,0.124452591913637,0.208805295786488,0.101330885727398,0.26177397709185,0.0860360637577698,0.216205253016935
0007CB0AD4,0.173963515754561,0,0.258744009727487,0.17633845001872,0.189377737040432,0.0994010717663132,0.13519963285911,0.0928653912175024,0.217121053603299,0.223202514957915
0007CB2ED2,0.289282752902156,0.365219586067643,0,0.393818181818182,0.457887768611875,0.167741935483871,0.0796236805874254,0.178677319684154,0.397193673456828,0.25585640401582
0007CB321B,0.0360903814262024,0.0475517415446745,0.0845059432465472,0,0.0422923689855961,0.0463198117383911,0.0358245830759728,0.0517618051871039,0.11853037109976,0.016613563950842
0007CB39C9,0.0506633499170814,0.0938667339727411,0.160789643087047,0.0546534653465348,0,0.0379531364925923,0.0308857273978889,0.0290851310039896,0.137423841467167,0.122097150390427
0007CB464C,0.205970149253732,0.119384149419485,0.142729418496531,0.265633351149119,0.0919645585090132,0,0.238503900871959,0.362441871352329,0.0675589547482474,0.157083460095325
0007F2B770,0.0457711442786071,0.0743563856638062,0.0310242471926186,0.103366336633664,0.0342702922904572,0.109215088788484,0,0.174682438126151,0.174656901963198,0.177872426731569
0007F2B957,0.347740464344942,0.15020191822312,0.204742150060797,0.310464245600898,0.16212573409069,0.488094987916361,0.513721890775585,0,0.0764354729521817,0.132542338505222
0007F2BA9B,0.0289800995024876,0.0890459363957598,0.115406623274444,0.180269561961812,0.113708116916183,0.0172883804375685,0.130243230839835,0.0193814175587528,0,0.104654700334652
0007F2CA05,0.0441956882255391,0.0555527511357901,0.0451147986553179,0.0299917830731306,0.0613097056726755,0.0325522748765368,0.0804956402019273,0.0203957429543397,0.0635116007138901,0
