"","start_frame","RFID_a","xstart_a","ystart_a","xend_a","yend_a","total_length_a","RFID_b","xstart_b","ystart_b","xend_b","yend_b","total_length_b"
"1",1445989,"0007CB3491",NA,NA,NA,NA,NA,"0007CB2224",344.093963623047,353.689758300781,203.632781982422,365.934387207031,172.955711985377
"2",1495792,"0007CB3491",NA,NA,NA,NA,NA,"0007CB2224",155.067489624023,391.978240966797,537.837768554688,379.937377929688,624.030730367649
"3",1496682,"0007CB3491",NA,NA,NA,NA,NA,"0007CB2224",536.477294921875,349.959747314453,537.391479492188,353.572082519531,11.3877572862597
"4",1517506,"0007CB3491",515.842346191406,366.675201416016,516.511413574219,371.300842285156,12.148943742144,"0007CB2224",521.441528320312,366.800079345703,515.294921875,372.414245605469,33.7056659817184
"5",1584357,"0007CB3491",496.36669921875,374.089752197266,470.302398681641,369.210540771484,62.0713781994769,"0007CB2224",481.007507324219,366.858581542969,469.566833496094,369.521301269531,31.6155215754419
"6",1887938,"0007CB3491",NA,NA,NA,NA,NA,"0007CB2224",177.109710693359,35.2217788696289,543.398864746094,355.993347167969,709.963828619086
"7",1421260,"0007CB4837",250.667999267578,232.375747680664,475.843383789062,62.5259475708008,376.038666885338,"0007CB2224",537.580261230469,20.9510459899902,545.432861328125,10.4521732330322,17.9077769030367
"8",1434641,"0007CB4837",188.678512573242,186.258804321289,139.392333984375,210.404006958008,118.710372730845,"0007CB2224",NA,NA,NA,NA,NA
"9",1439954,"0007CB4837",152.94856262207,69.6045074462891,172.791091918945,68.7162246704102,182.528359134903,"0007CB2224",524.635925292969,388.685607910156,98.4043197631836,134.716552734375,716.538479179366
"10",1441521,"0007CB4837",102.129089355469,147.947494506836,113.356384277344,107.439407348633,135.122734589688,"0007CB2224",253.890365600586,361.230865478516,93.2549133300781,180.95719909668,283.49895497255
"11",1495789,"0007CB4837",188.466567993164,125.425338745117,485.280944824219,338.367248535156,741.070738439768,"0007CB2224",154.068923950195,390.845489501953,537.08837890625,379.910186767578,341.534409482611
"12",828827,"0007CB6AB4",68.4263153076172,139.384353637695,569.594360351562,67.3323287963867,639.984654337573,"0007CB2224",NA,NA,NA,NA,NA
"13",1417031,"0007CB6AB4",552.995910644531,263.675964355469,552.498901367188,264.184356689453,505.700218668505,"0007CB2224",532.645935058594,385.893188476562,529.896179199219,348.060089111328,62.7410457698662
"14",1442290,"0007CB6AB4",301.359222412109,41.6021690368652,484.457916259766,312.684112548828,344.129756053377,"0007CB2224",519.590148925781,383.284881591797,546.193420410156,271.391174316406,142.474995089378
"15",1442582,"0007CB6AB4",523.515686035156,355.992218017578,524.686645507812,369.004516601562,33.4005027446425,"0007CB2224",480.761291503906,141.679290771484,464.963409423828,397.281066894531,363.236476699341
"16",1442626,"0007CB6AB4",523.694274902344,355.915985107422,523.26953125,369.273803710938,39.0782582893608,"0007CB2224",389.7734375,300.539642333984,507.219268798828,399.00732421875,207.486958805851
"17",1475072,"0007CB6AB4",149.639022827148,396.631530761719,133.658386230469,391.301849365234,29.9362823490628,"0007CB2224",NA,NA,NA,NA,NA
"18",1516690,"0007CB6AB4",NA,NA,NA,NA,NA,"0007CB2224",538.724365234375,390.841827392578,472.672882080078,312.676849365234,121.514921739026
"19",1175929,"0007CD5116",159.071365356445,395.327789306641,162.073669433594,384.939239501953,15.6489805273206,"0007CB2224",167.171691894531,379.657653808594,120.505195617676,369.783264160156,85.9323430079528
"20",612677,"0007CDE223",NA,NA,NA,NA,NA,"0007CB2224",111.770774841309,387.226440429688,111.352584838867,389.92431640625,11.731455076216
"21",791841,"0007CDE223",516.830017089844,14.060112953186,518.676086425781,396.693969726562,415.141384182334,"0007CB2224",540.780395507812,384.244567871094,546.313293457031,357.147125244141,40.2366991109468
"22",811702,"0007CDE223",NA,NA,NA,NA,NA,"0007CB2224",553.664855957031,253.107040405273,543.048583984375,242.525955200195,23.0806988180764
"23",878407,"0007CDE223",531.000854492188,378.140441894531,545.578125,351.732940673828,139.774171550362,"0007CB2224",538.447082519531,380.5244140625,545.402465820312,351.585784912109,42.9802009597496
"24",878449,"0007CDE223",532.34716796875,378.254577636719,542.653747558594,358.304321289062,145.384116112132,"0007CB2224",533.763061523438,378.050506591797,545.640930175781,357.446868896484,42.239368503886
"25",878501,"0007CDE223",494.652679443359,387.505249023438,543.860595703125,354.400848388672,299.997755432639,"0007CB2224",545.402465820312,351.585784912109,546.002258300781,353.956695556641,12.5618824348652
"26",1167582,"0007CDE223",527.206420898438,379.074035644531,528.194946289062,383.106414794922,34.0903025760497,"0007CB2224",NA,NA,NA,NA,NA
"27",1195590,"0007CDE223",548.708129882812,15.6882514953613,547.476196289062,18.4121875762939,7.05102333895575,"0007CB2224",NA,NA,NA,NA,NA
