ID,0007CA3B1C,0007CB1E1F,0007CB2183,0007CB2277,0007CB3D9B,0007CB3F5E,0007CB6BC3,0007F2945F,0007F2B8A6,0007F2E455
0007CA3B1C,0,0.166319203150336,0,0.0975597330480411,0,0.0640414225371304,0,0,0,0
0007CB1E1F,0.324226687739896,0,0,0.240002037801212,0.122902885629374,0.0852977244856248,0,0,0,0.142987441240441
0007CB2183,0,0,0,0,0,0,0,0,0,0
0007CB2277,0.288251674569128,0.363755694540961,0,0,0,0.349275559794705,0.142666666666666,0.244530244530244,0,0.296779625342033
0007CB3D9B,0,0.0494942475484519,0,0,0,0.094199936412772,0.448,0.102445302445302,0,0.0381674033536799
0007CB3F5E,0.106118762700384,0.0725040537410239,0,0.195883641550767,0.198830409356725,0,0.264,0,0.0371368673255465,0.0465866835052271
0007CB6BC3,0,0,0,0.0272555912170767,0.322116767328156,0.0899305082436299,0,0.104504504504505,0,0
0007F2945F,0,0,0,0.0241988893983391,0.0381554980347042,0,0.0541333333333334,0,0,0.0392899740405529
0007F2B8A6,0,0,0,0,0,0.0112640232547577,0,0,0,0.198554690240651
0007F2E455,0,0.0786811829202379,0,0.1077487391105,0.0521522385197968,0.0301585138756416,0,0.144144144144144,0.423779574722971,0
