ID,0007CB64B4,0007CB7051,0007CD5116,0007CD765E,0007CD86B3,0007CDAD6B,0007CDADED,0007CDC395,0007CDC443,0007CDE4F0
0007CB64B4,0,49,4,0,55,0,17,42,7,52
0007CB7051,49,0,0,0,13,0,9,32,0,6
0007CD5116,4,0,0,0,2,0,0,1,0,3
0007CD765E,0,0,0,0,0,0,0,0,0,0
0007CD86B3,55,13,2,0,0,0,10,19,12,46
0007CDAD6B,0,0,0,0,0,0,0,0,0,0
0007CDADED,17,9,0,0,10,0,0,32,0,25
0007CDC395,42,32,1,0,19,0,32,0,28,16
0007CDC443,7,0,0,0,12,0,0,28,0,12
0007CDE4F0,52,6,3,0,46,0,25,16,12,0
