"","start_frame","RFID_a","xstart_a","ystart_a","xend_a","yend_a","total_length_a","RFID_b","xstart_b","ystart_b","xend_b","yend_b","total_length_b"
"1",652402,"0007CA3A35","81.6892242431641","73.9445419311523","83.3754425048828","70.0681457519531",22.2295702731797,"0007CA38FF","144.370529174805","385.936401367188","157.151702880859","377.083160400391",NA
"2",652548,"0007CA3A35","83.55517578125","70.8172378540039","84.2759704589844","75.0581970214844",19.1988952152037,"0007CA38FF","107.177673339844","48.5983848571777","106.591758728027","48.7218017578125",8.41645414976719
"3",747206,"0007CA3A35","83.55517578125","70.8172378540039","84.2759704589844","75.0581970214844",NA,"0007CA38FF","107.177673339844","48.5983848571777","106.591758728027","48.7218017578125",NA
"4",1099319,"0007CA3A35","160.839126586914","112.365417480469","404.355255126953","321.931213378906",318.229833466766,"0007CA38FF","411.169158935547","94.5821685791016","478.651580810547","381.120849609375",327.196413769366
"5",1099535,"0007CA3A35","450.647705078125","359.625335693359","557.072143554688","379.778930664062",142.30526081802,"0007CA38FF","501.301849365234","377.144927978516","495.315185546875","357.840026855469",50.3804468069559
"6",1099822,"0007CA3A35","450.647705078125","359.625335693359","557.072143554688","379.778930664062",NA,"0007CA38FF","497.267517089844","362.005706787109","501.984558105469","366.312805175781",64.2425527111846
"7",1134883,"0007CA3A35","450.647705078125","359.625335693359","557.072143554688","379.778930664062",NA,"0007CA38FF","497.267517089844","362.005706787109","501.984558105469","366.312805175781",NA
"8",1318090,"0007CA3A35","159.755325317383","394.996276855469","157.4814453125","393.376312255859",22.5060050667491,"0007CA38FF","497.267517089844","362.005706787109","501.984558105469","366.312805175781",NA
"9",1533026,"0007CA3A35","159.755325317383","394.996276855469","157.4814453125","393.376312255859",NA,"0007CA38FF","102.013275146484","48.0528945922852","97.6384963989258","49.3208847045898",21.0579025235459
"10",1621576,"0007CA3A35","163.428176879883","389.989562988281","126.316162109375","391.413970947266",76.5951967501438,"0007CA38FF","102.013275146484","48.0528945922852","97.6384963989258","49.3208847045898",NA
"11",1973391,"0007CA3A35","467.978820800781","383.456939697266","468.690338134766","384.348419189453",5.56995060155718,"0007CA38FF","102.013275146484","48.0528945922852","97.6384963989258","49.3208847045898",NA
"12",1974003,"0007CA3A35","461.673095703125","388.724853515625","445.289947509766","387.215698242188",33.7046551622723,"0007CA38FF","102.013275146484","48.0528945922852","97.6384963989258","49.3208847045898",NA
"13",1974238,"0007CA3A35","443.119262695312","387.056335449219","442.923828125","387.228698730469",14.5254704902323,"0007CA38FF","498.686828613281","386.326293945312","485.776428222656","363.275421142578",35.879964118467
"14",125705,"0007CB08A5","107.807655334473","72.286003112793","109.907836914062","70.2275924682617",7.79986627505208,"0007CA38FF","498.686828613281","386.326293945312","485.776428222656","363.275421142578",NA
"15",622964,"0007CB08A5","89.8947677612305","41.5956764221191","95.0465850830078","44.921215057373",21.4162450407321,"0007CA38FF","498.686828613281","386.326293945312","485.776428222656","363.275421142578",NA
"16",1182417,"0007CB08A5","116.228462219238","42.1594848632812","116.06160736084","43.9755821228027",12.8159560628205,"0007CA38FF","498.686828613281","386.326293945312","485.776428222656","363.275421142578",NA
"17",1314602,"0007CB08A5","116.228462219238","42.1594848632812","116.06160736084","43.9755821228027",NA,"0007CA38FF","498.686828613281","386.326293945312","485.776428222656","363.275421142578",NA
"18",1862475,"0007CB08A5","116.228462219238","42.1594848632812","116.06160736084","43.9755821228027",NA,"0007CA38FF","498.686828613281","386.326293945312","485.776428222656","363.275421142578",NA
"19",89602,"0007CB0ABC","437.686828613281","365.771057128906","398.20654296875","361.514221191406",74.3511428516093,"0007CA38FF","468.513549804688","389.064880371094","463.926116943359","386.440063476562",45.2853719832962
"20",1238340,"0007CB0ABC","118.315155029297","335.557891845703","120.394569396973","334.664001464844",91.0324454016199,"0007CA38FF","271.543121337891","376.649627685547","133.53971862793","385.040008544922",205.422126964409
"21",1238578,"0007CB0ABC","114.602409362793","308.389587402344","111.695610046387","307.314239501953",21.6074611626753,"0007CA38FF","141.196166992188","380.466003417969","178.077407836914","337.618072509766",89.4394806373464
"22",87298,"0007CB0D91","114.602409362793","308.389587402344","111.695610046387","307.314239501953",NA,"0007CA38FF","271.033538818359","380.980590820312","264.964294433594","382.832336425781",38.6408347093322
"23",1238206,"0007CB0D91","114.602409362793","308.389587402344","111.695610046387","307.314239501953",NA,"0007CA38FF","269.487213134766","381.216949462891","277.605499267578","370.309448242188",41.5656533373244
"24",1238340,"0007CB0D91","225.602798461914","381.707733154297","207.623123168945","368.266052246094",67.2426601393731,"0007CA38FF","271.543121337891","376.649627685547","133.53971862793","385.040008544922",205.422126964409
"25",1244283,"0007CB0D91","166.163009643555","400.233734130859","168.835083007812","398.289886474609",7.24750838565194,"0007CA38FF","271.543121337891","376.649627685547","133.53971862793","385.040008544922",NA
"26",1253139,"0007CB0D91","427.97119140625","391.40234375","491.248931884766","378.627532958984",94.5177380913959,"0007CA38FF","550.758178710938","372.316162109375","555.8427734375","367.068725585938",10.4258065131376
"27",1562845,"0007CB0D91","427.97119140625","391.40234375","491.248931884766","378.627532958984",NA,"0007CA38FF","79.0364761352539","86.6641693115234","96.1185302734375","51.789134979248",43.8043560601981
"28",1802889,"0007CB0D91","86.2660675048828","136.429931640625","88.2316207885742","120.15803527832",24.7538641921633,"0007CA38FF","79.0364761352539","86.6641693115234","96.1185302734375","51.789134979248",NA
