ID,0007CB64B4,0007CB7051,0007CD5116,0007CD765E,0007CD86B3,0007CDAD6B,0007CDADED,0007CDC395,0007CDC443,0007CDE4F0
0007CB64B4,0,0.541165617896089,0.159854245880862,0,0.446700105596622,0,0.232821792693288,0.334769807720776,0.310384321710359,0.236224312086381
0007CB7051,0.263947808201568,0,0,0.168350168350168,0.143822597676874,0,0.064570943075616,0.213398687435235,0.23914590747331,0.0440496923255544
0007CD5116,0.0162135235891503,0,0,0.0815850815850816,0.00678602367889113,0,0.0351253051666584,0.00357001190003967,0,0.14977359804946
0007CD765E,0,0.0257691087852839,0.0540772532188842,0,0,0,0.123162772158836,0,0.108264136022143,0.125906344410876
0007CD86B3,0.271901915413293,0.179488024248015,0.193018480492813,0,0,0,0.0602166525063721,0.0809908383637351,0.160664291168236,0.281342157204226
0007CDAD6B,0,0,0,0,0,0,0,0,0,0
0007CDADED,0.140908214423448,0.080123875728923,0.17839068825911,0.845706465959631,0.0598732840549103,0,0,0.35236936033028,0.126694094869313,0.244699872286079
0007CDC395,0.327050392081244,0.427437156129542,0.0739219712525669,0,0.129989440337909,0,0.568792480883602,0,0.452150674471876,0.244908858701962
0007CDC443,0.0783841110682607,0.11988582302569,0,0.354571354571355,0.0666578669482576,0,0.0521648149070799,0.116880767143116,0,0.0325089980262394
0007CDE4F0,0.163468954878519,0.0624979408954634,1.02186311787073,0.570304481696887,0.319852164730728,0,0.279789719626168,0.173478954553679,0.0890811911427843,0
