ID,0007CB64B4,0007CB7051,0007CD5116,0007CD765E,0007CD86B3,0007CDAD6B,0007CDADED,0007CDC395,0007CDC443,0007CDE4F0
0007CB64B4,0,41.4010487064516,11.197731515,0,46.9507160977012,63.3115555,60.9896943411765,46.013537497561,65.7872527260869,55.92117974
0007CB7051,41.4010487064516,0,68.0386431,5.7486603875,66.405283043038,48.6585744263158,65.7857362121212,23.6693830466667,27.2355134986111,66.7982415367347
0007CD5116,11.197731515,68.0386431,0,7.99012194444444,46.7147852833333,0,28.69119932,74.5242541,0,12.2386123142857
0007CD765E,0,5.7486603875,7.99012194444444,0,0,44.958168,19.6784879166667,0,11.5579907029412,58.940820275
0007CD86B3,46.9507160977012,66.405283043038,46.7147852833333,0,0,66.5475194714286,49.0128325541667,63.6716996046512,64.9111217888889,18.9845760367521
0007CDAD6B,63.3115555,48.6585744263158,0,44.958168,66.5475194714286,0,54.445260625,41.30929666,64.3495861222223,45.60156825
0007CDADED,60.9896943411765,65.7857362121212,28.69119932,19.6784879166667,49.0128325541667,54.445260625,0,26.3368969511628,59.8760939461539,9.75526411772153
0007CDC395,46.013537497561,23.6693830466667,74.5242541,0,63.6716996046512,41.30929666,26.3368969511628,0,15.4794377431373,61.3792184611111
0007CDC443,65.7872527260869,27.2355134986111,0,11.5579907029412,64.9111217888889,64.3495861222223,59.8760939461539,15.4794377431373,0,45.0146925
0007CDE4F0,55.92117974,66.7982415367347,12.2386123142857,58.940820275,18.9845760367521,45.60156825,9.75526411772153,61.3792184611111,45.0146925,0
