ID,0007CB64B4,0007CB7051,0007CD5116,0007CD765E,0007CD86B3,0007CDAD6B,0007CDADED,0007CDC395,0007CDC443,0007CDE4F0
0007CB64B4,0,547.533333333333,33.6333333333334,0,564.033333333334,0,292.3,678.433333333333,162.6,339.1
0007CB7051,547.533333333333,0,0,21.6666666666667,181.6,0,81.0666666666667,432.466666666666,100.8,63.2333333333334
0007CD5116,33.6333333333334,0,0,10.5,3.13333333333333,0,23.5,1.2,0,215
0007CD765E,0,21.6666666666667,10.5,0,0,0,82.4,0,45.6333333333334,55.5666666666667
0007CD86B3,564.033333333334,181.6,3.13333333333333,0,0,0,75.6,164.133333333333,84.1666666666666,403.866666666666
0007CDAD6B,0,0,0,0,0,0,0,0,0,0
0007CDADED,292.3,81.0666666666667,23.5,82.4,75.6,0,0,714.1,34.9,351.266666666667
0007CDC395,678.433333333333,432.466666666666,1.2,0,164.133333333333,0,714.1,0,236.866666666667,351.566666666667
0007CDC443,162.6,100.8,0,45.6333333333334,84.1666666666666,0,34.9,236.866666666667,0,46.6666666666666
0007CDE4F0,339.1,63.2333333333334,215,55.5666666666667,403.866666666666,0,351.266666666667,351.566666666667,46.6666666666666,0
