ID,0007CA3A72,0007CB0B74,0007CB0DBC,0007CB2407,0007F2B3FF,0007F2B59E,0007F2B8A2,0007F2B9FC,0007F2E37E,0007F2ED4
0007CA3A72,0,0.119447426522717,0.0767938842879482,0.130757160877458,0.143267702091232,0.0812541469631064,0.110224864241193,0.124435575494509,0.0916656159374603,0.0875770627480787
0007CB0B74,0.118630429097347,0,0.119592285863207,0.0758699196997201,0.115399902164608,0.100917334569084,0.112632780265122,0.0591516881754889,0.0874066602221941,0.0808842158601469
0007CB0DBC,0.106700999818946,0.167311470761004,0,0.227302095191213,0.0855753943989238,0.166384058810519,0.136298079937796,0.109491071168468,0.172978046764455,0.0841356304366185
0007CB2407,0.0854975960087713,0.0499503737162998,0.106967046968205,0,0.0348079980432922,0.0664356654625114,0.0628315587493887,0.049844146007516,0.0360890457977836,0.0668229034709906
0007F2B3FF,0.188537287010401,0.152909720674918,0.0810505588695199,0.0700550718395225,0,0.140538604935281,0.13450468414914,0.132883735834766,0.20255257148461,0.114538468034794
0007F2B59E,0.155203283107687,0.194089408333165,0.228731105577113,0.194074393132942,0.203986792222087,0,0.178160703312139,0.189763160194599,0.258941705543647,0.215480111477071
0007F2B8A2,0.176809028546139,0.181915777107092,0.157352174668443,0.154139617881426,0.163950715421304,0.149617162897977,0,0.290281702449967,0.151375054287675,0.134448104045266
0007F2B9FC,0.171860226518337,0.0822580971864939,0.108834771529507,0.105282589299449,0.139461293873059,0.137210502480279,0.249934158546221,0,0.088121156082321,0.24550291360527
0007F2E37E,0.13162606369068,0.126374850614759,0.178765853941044,0.0792542226871365,0.221016265133912,0.194662397708243,0.135507982492444,0.0916188423107176,0,0.143674520733046
0007F2ED4,0.0834456537045607,0.0775993032064658,0.0576967626107605,0.0973756268652125,0.0829307814601933,0.107489283720734,0.0798625481269675,0.169371049028462,0.0953361632973284,0
