ID,0007CA3A72,0007CB0B74,0007CB0DBC,0007CB2407,0007F2B3FF,0007F2B59E,0007F2B8A2,0007F2B9FC,0007F2E37E,0007F2ED4
0007CA3A72,0,35.0333333333333,33.9,23,22.5777777777778,28.9777777777778,17.7222222222222,10.0444444444445,21.7,31.6333333333334
0007CB0B74,35.0333333333333,0,42.5,13.4444444444444,41.9888888888889,17.1555555555556,12.7333333333333,3.13333333333333,38.5888888888889,13.1444444444444
0007CB0DBC,33.9,42.5,0,62.7833333333333,154.1,86.5999999999999,53.8,23.9166666666667,274.611111111111,90.6222222222221
0007CB2407,23,13.4444444444444,62.7833333333333,0,47.6333333333332,53.6444444444445,53.4333333333333,14.1166666666666,78.388888888889,50.3888888888889
0007F2B3FF,22.5777777777778,41.9888888888889,154.1,47.6333333333332,0,207.155555555556,135.766666666667,42.6888888888889,414.955555555556,142.777777777778
0007F2B59E,28.9777777777778,17.1555555555556,86.5999999999999,53.6444444444445,207.155555555556,0,118.177777777778,34.5666666666667,117.788888888889,138.377777777778
0007F2B8A2,17.7222222222222,12.7333333333333,53.8,53.4333333333333,135.766666666667,118.177777777778,0,108.111111111111,138.466666666666,103.055555555555
0007F2B9FC,10.0444444444445,3.13333333333333,23.9166666666667,14.1166666666666,42.6888888888889,34.5666666666667,108.111111111111,0,41.6111111111111,38.2666666666667
0007F2E37E,21.7,38.5888888888889,274.611111111111,78.388888888889,414.955555555556,117.788888888889,138.466666666666,41.6111111111111,0,68.2888888888889
0007F2ED4,31.6333333333334,13.1444444444444,90.6222222222221,50.3888888888889,142.777777777778,138.377777777778,103.055555555555,38.2666666666667,68.2888888888889,0
