ID,0007CB0942,0007CB2224,0007CB3491,0007CB4837,0007CD72E3,0007CD77C5,0007CDE223,0007CDEC0B,0007CDEEE2,0007CE0327
0007CB0942,0,500.7,137.7,51.5666666666667,209.233333333334,316.166666666667,254.333333333333,39.3,152.8,88.7
0007CB2224,500.7,0,304.4,41.3,310.266666666667,430.533333333333,1471,84.6333333333334,254.433333333333,759.3
0007CB3491,137.7,304.4,0,16.8666666666667,178.833333333334,188.233333333334,159.566666666667,26.8,103.4,72.0333333333333
0007CB4837,51.5666666666667,41.3,16.8666666666667,0,36.1333333333333,40,59.7,48.0333333333333,23.2333333333333,33.8666666666666
0007CD72E3,209.233333333334,310.266666666667,178.833333333334,36.1333333333333,0,301.433333333333,262.2,38.2333333333334,103.766666666667,82.3333333333333
0007CD77C5,316.166666666667,430.533333333333,188.233333333334,40,301.433333333333,0,405.9,77.7,1999.53333333333,227.3
0007CDE223,254.333333333333,1471,159.566666666667,59.7,262.2,405.9,0,97.2666666666667,143.066666666667,368.9
0007CDEC0B,39.3,84.6333333333334,26.8,48.0333333333333,38.2333333333334,77.7,97.2666666666667,0,27.5333333333333,55.2
0007CDEEE2,152.8,254.433333333333,103.4,23.2333333333333,103.766666666667,1999.53333333333,143.066666666667,27.5333333333333,0,126.133333333333
0007CE0327,88.7,759.3,72.0333333333333,33.8666666666666,82.3333333333333,227.3,368.9,55.2,126.133333333333,0
