ID,0007CB0942,0007CB2224,0007CB3491,0007CB4837,0007CD72E3,0007CD77C5,0007CDE223,0007CDEC0B,0007CDEEE2,0007CE0327
0007CB0942,0,0.07176223374503,0.132759796861972,0.107561235356763,0.193129621541844,0.115180482655485,0.0789941178792784,0.0898742947639314,0.104507251318877,0.0851838144584258
0007CB2224,0.137018328763169,0,0.271735010990677,0.378860489882854,0.242375867833316,0.159267513122013,0.454680036319135,0.0565861626414654,0.143421659679458,0.471934369602764
0007CB3491,0.101111271467744,0.108391661249603,0,0.124068157614483,0.118582551467598,0.0561240946544292,0.0873435711183924,0.11056121943977,0.0477804745953102,0.0685975609756098
0007CB4837,0.0233222687256459,0.0430240819967044,0.0353217615402107,0,0.0215850309726036,0.00939800017593759,0.016639690497809,0.129008202833707,0.00950795338294586,0.0198134299591396
0007CD72E3,0.370154423437725,0.243299218431118,0.298415826574698,0.219148476334558,0,0.180218749083658,0.240476096482571,0.344056220924478,0.138166208653441,0.150875028910647
0007CD77C5,0.226757107807764,0.164220169617077,0.145076934738119,0.0853301384451543,0.185117694010632,0,0.140637953495717,0.422937813557344,0.679878843800774,0.129776422764228
0007CDE223,0.115514504257469,0.348228998170796,0.167702569544455,0.112220447284345,0.183476152467583,0.104462950473566,0,0.228842917945165,0.094036467213608,0.336787564766839
0007CDEC0B,0.0262086881223842,0.0100649552783946,0.042333055408171,0.141368743615935,0.0523486092076927,0.0778665635605963,0.0456357822431014,0,0.00998492840994725,0.0404021712311868
0007CDEEE2,0.150382450570068,0.108089313519479,0.0902751459107102,0.0630990415335463,0.103733377509375,0.496935753452776,0.0925348387351467,0.0592841163310963,0,0.146188008882309
0007CE0327,0.0398614518689565,0.115663124159095,0.0407657929701655,0.0555435487356819,0.0416586840368691,0.025382123193735,0.107773084363033,0.0648322280510739,0.0475397669147293,0
