ID,0007AC2B02,0007CB0942,0007CB44CE,0007CB7051,0007CD6778,0007CD765E,0007CD77C5,0007CDADED,0007CDC443,0007CDDBAF
0007AC2B02,0,144,411,355,123,150,626,186,202,257
0007CB0942,144,0,210,108,56,28,208,111,54,61
0007CB44CE,411,210,0,206,153,103,487,172,119,192
0007CB7051,355,108,206,0,94,106,213,113,87,314
0007CD6778,123,56,153,94,0,25,119,44,111,85
0007CD765E,150,28,103,106,25,0,119,53,54,58
0007CD77C5,626,208,487,213,119,119,0,231,149,240
0007CDADED,186,111,172,113,44,53,231,0,119,85
0007CDC443,202,54,119,87,111,54,149,119,0,153
0007CDDBAF,257,61,192,314,85,58,240,85,153,0
