ID,0007ABF555,0007ACA781,0007CB2224,0007CD38E5,0007CD72E3,0007CD7FB2,0007CD81D3,0007CDEAA7,0007CDEEE2,0007CE0327
0007ABF555,0,1.98118279569892,1.78095238095238,2.15151515151515,2.11481481481481,1.69901960784314,1.95121951219512,1.69259259259259,1.66111111111111,2.05555555555556
0007ACA781,1.98118279569892,0,1.92592592592593,3.66222222222222,2.14803921568627,2.93714285714286,3.59259259259259,2.17070707070707,1.9015625,2.20707070707071
0007CB2224,1.78095238095238,1.92592592592593,0,2.37291666666667,1.79824561403509,2.5974358974359,1.88461538461538,1.97333333333333,2.96,2.13333333333333
0007CD38E5,2.15151515151515,3.66222222222222,2.37291666666667,0,2.40343642611684,3.00333333333333,1.85969868173258,1.95287356321839,1.79821428571429,3.18571428571429
0007CD72E3,2.11481481481481,2.14803921568627,1.79824561403509,2.40343642611684,0,4.67142857142857,2.05641025641026,2.13211382113821,2.43333333333333,1.95909090909091
0007CD7FB2,1.69901960784314,2.93714285714286,2.5974358974359,3.00333333333333,4.67142857142857,0,1.83,2.4,3.24666666666667,4.37011494252874
0007CD81D3,1.95121951219512,3.59259259259259,1.88461538461538,1.85969868173258,2.05641025641026,1.83,0,2.03333333333333,1.61851851851852,2.45968992248062
0007CDEAA7,1.69259259259259,2.17070707070707,1.97333333333333,1.95287356321839,2.13211382113821,2.4,2.03333333333333,0,2.90175438596491,1.80833333333333
0007CDEEE2,1.66111111111111,1.9015625,2.96,1.79821428571429,2.43333333333333,3.24666666666667,1.61851851851852,2.90175438596491,0,1.90229885057471
0007CE0327,2.05555555555556,2.20707070707071,2.13333333333333,3.18571428571429,1.95909090909091,4.37011494252874,2.45968992248062,1.80833333333333,1.90229885057471,0
