ID,0007ABF555,0007ACA781,0007CB2224,0007CD38E5,0007CD72E3,0007CD7FB2,0007CD81D3,0007CDEAA7,0007CDEEE2,0007CE0327
0007ABF555,0,5.04738693030303,0,18.4331210010989,42.7329888324324,16.13883372,53.1889665473684,13.2783726973684,47.3711284363636,44.4481022642857
0007ACA781,5.04738693030303,0,0,54.6422172060606,43.4097633022727,57.4098795478261,48.0367884,31.6957734970588,17.70262695,38.6628786474576
0007CB2224,0,0,0,47.7326231666667,17.5317740104651,39.9272114,49.0643573727273,40.3075675714286,39.139378475,4.53999140306122
0007CD38E5,18.4331210010989,54.6422172060606,47.7326231666667,0,31.310695736,23.6719925573171,15.0289199276316,44.6683478566667,52.6181754933333,50.3807323818182
0007CD72E3,42.7329888324324,43.4097633022727,17.5317740104651,31.310695736,0,15.9064409115385,30.8449260859649,13.1870218765957,35.072156204878,36.0242005328571
0007CD7FB2,16.13883372,57.4098795478261,39.9272114,23.6719925573171,15.9064409115385,0,47.1407759777778,42.6399271,54.90117275,40.592615015625
0007CD81D3,53.1889665473684,48.0367884,49.0643573727273,15.0289199276316,30.8449260859649,47.1407759777778,0,52.65777705,43.3367093142857,8.83307842626263
0007CDEAA7,13.2783726973684,31.6957734970588,40.3075675714286,44.6683478566667,13.1870218765957,42.6399271,52.65777705,0,28.7931997307692,59.6407380111111
0007CDEEE2,47.3711284363636,17.70262695,39.139378475,52.6181754933333,35.072156204878,54.90117275,43.3367093142857,28.7931997307692,0,18.4271551478261
0007CE0327,44.4481022642857,38.6628786474576,4.53999140306122,50.3807323818182,36.0242005328571,40.592615015625,8.83307842626263,59.6407380111111,18.4271551478261,0
