Mouse_RFID,Group_ID,mutant,Timestamp_base1,RC,authority,hub,eigenvector_centrality,constraint,pagerank,incloseness,outcloseness,normed instrength,normed outstrength,instrength,outstrength,out persistance,in persistance,indegree,outdegree,degree,transitivity,summed cocitation,summed bibcoupling,summed common neighbors,summed insubcomponent,summed outsubcomponent,summed injaccard,summed outjaccard,summed jaccard
0007CDEC0B,2,False,0,True,0.8873307978826572,0.6625137982296776,0.9975469214560773,0.670759968715067,0.17415192975426558,0.13043478260869565,0.21951219512195122,1.0,0.6840277777777778,283.0,226.0,7.0,8.0,5,5,10,0.9,25,25,50,45,45,5.761904761904762,5.696428571428572,5.696428571428572
0007CDEEE2,2,False,0,True,0.8143708914362706,0.5542740779832603,0.9164954967837037,0.5288987484780228,0.16634290092347992,0.13432835820895522,0.18,0.9576923076923077,0.59375,272.0,200.0,8.0,6.0,5,5,10,0.8,25,23,48,45,45,5.7103174603174605,5.240079365079366,5.240079365079366
0007CB0942,3,False,0,False,0.030068239019459743,0.10715327637703066,0.036624684851455945,0.384502566164666,0.028793114857908187,0.7777777777777778,0.2692307692307692,0.0,0.0,9.0,17.0,4.0,5.0,1,0,1,,3,0,3,28,0,1.775,1.2,1.2
0007CD38E5,3,False,0,False,0.5427082248445894,1.0,0.7710820426987206,0.7059555858814759,0.19466969094177522,0.25,0.2413793103448276,0.5311355311355311,0.8597560975609756,154.0,158.0,5.0,4.0,6,6,12,0.8,25,24,49,28,28,6.196428571428571,6.071428571428571,6.071428571428571
0007CD81D3,3,False,0,True,0.6529361018282144,0.917444853820941,0.8314376505248264,0.8233556930660755,0.2169163996052512,0.3181818181818182,0.22580645161290322,0.6373626373626373,0.823170731707317,183.0,152.0,5.0,6.0,6,6,12,0.8,25,24,49,28,28,6.196428571428571,6.071428571428571,6.071428571428571
0007CD86B3,3,False,0,True,1.0,0.786475809778614,1.0,0.7280263977543938,0.2901849034099157,0.12962962962962962,0.21875,1.0,1.0,282.0,181.0,6.0,6.0,6,6,12,0.8,25,24,49,28,28,6.196428571428571,6.071428571428571,6.071428571428571
0007CDC395,3,True,0,False,0.09878310087486207,0.12563501462466817,0.12670705514691472,0.5822483494742182,0.04758993335888311,0.25925925925925924,0.35,0.06593406593406594,0.03048780487804878,27.0,22.0,4.0,3.0,3,4,7,0.5,15,15,30,28,28,4.025,3.825,3.825
0007CDC91B,3,False,0,False,0.25968881263296345,0.5082482761798405,0.3344062991583593,0.6909521306500044,0.09409186770016467,0.4666666666666667,0.25925925925925924,0.22344322344322345,0.3353658536585366,70.0,72.0,5.0,6.0,5,5,10,1.0,23,23,46,28,28,5.946428571428571,5.946428571428571,5.946428571428571
0007CDDBAF,3,False,0,True,0.12361599758191218,0.5692293779784658,0.15854990511572287,0.6523891529729722,0.05595042186511715,0.23333333333333334,0.25925925925925924,0.08791208791208792,0.47560975609756095,33.0,95.0,6.0,3.0,5,5,10,1.0,23,23,46,28,28,5.946428571428571,5.946428571428571,5.946428571428571
0007CE0327,3,False,0,False,0.16942819411192747,0.7326572574160197,0.22432459879465852,0.7162501997341302,0.07180366826098475,0.2413793103448276,0.3181818181818182,0.14285714285714285,0.5609756097560976,48.0,109.0,3.0,5.0,5,5,10,1.0,23,23,46,28,28,5.946428571428571,5.946428571428571,5.946428571428571
0006CB224,4,False,0,False,0.06602131799560575,0.09041394818766423,0.06787808906226028,0.3196613518863349,0.03309149740582199,0.3333333333333333,0.5,0.019138755980861243,0.0,19.0,27.0,5.0,2.0,1,1,2,1.0,6,4,10,45,45,2.9535714285714287,1.6928571428571428,1.6928571428571428
0007ABF555,4,True,0,False,0.3180092879042636,0.4037309694856109,0.39647851050926297,0.49894458090501737,0.09461947682777302,0.28125,0.28125,0.3157894736842105,0.3202614379084967,81.0,76.0,3.0,5.0,8,7,15,0.6111111111111112,40,29,69,45,45,7.2,5.550000000000001,5.550000000000001
0007AC2B02,4,False,0,False,0.6454833072125324,1.0,0.8878471817880589,0.5496037410429048,0.19861788156558996,0.20930232558139536,0.2647058823529412,0.784688995215311,1.0,179.0,180.0,9.0,8.0,8,8,16,0.75,39,39,78,45,45,7.477777777777778,7.022222222222222,7.022222222222222
0007ACA781,4,False,0,True,0.4467456942612229,0.6089240064756946,0.5260868506293931,0.5326873122940277,0.13077032913336475,0.1875,0.28125,0.49282296650717705,0.6470588235294118,118.0,126.0,6.0,8.0,7,8,15,0.75,33,40,73,45,45,7.477777777777778,7.022222222222222,7.022222222222222
0007CB7051,4,False,0,True,1.0,0.6513728886203067,1.0,0.5116195442390777,0.22187565851673297,0.23076923076923078,0.1836734693877551,1.0,0.8823529411764706,224.0,162.0,3.0,5.0,8,8,16,0.75,39,39,78,45,45,7.477777777777778,7.022222222222222,7.022222222222222
0007CD6778,4,False,0,False,0.18102077461974586,0.2805569582270845,0.214477903592078,0.4780582612454951,0.05469361482207808,0.375,0.2903225806451613,0.11961722488038277,0.1568627450980392,40.0,51.0,3.0,5.0,5,4,9,1.0,31,27,58,45,45,6.113888888888889,5.658730158730158,5.658730158730158
0007CD765E,4,False,0,False,0.06959596295597038,0.1853916156460757,0.08246915766628969,0.3325860501305794,0.029991603092023287,0.45,0.3333333333333333,0.0,0.032679738562091505,15.0,32.0,6.0,6.0,4,5,9,1.0,27,31,58,45,45,6.113888888888889,5.888888888888889,5.888888888888889
0007CDADED,4,False,0,False,0.26737844005389216,0.29552127982822013,0.3025014955606659,0.49337234068399977,0.0850280683269496,0.3103448275862069,0.42857142857142855,0.2727272727272727,0.23529411764705882,72.0,63.0,7.0,4.0,5,5,10,0.7333333333333333,27,31,58,45,45,6.192460317460317,6.042857142857143,6.042857142857143
0007CDC443,4,False,0,False,0.31895171883141366,0.336135242168737,0.35669213017969226,0.48672030879029593,0.07930704813561176,0.47368421052631576,0.25,0.24880382775119617,0.26143790849673204,67.0,67.0,4.0,3.0,5,5,10,1.0,31,31,62,45,45,6.207142857142856,6.185714285714286,6.185714285714286
0007CDEAA7,4,False,0,False,0.23772696380796837,0.45192725900128533,0.29579643595919947,0.49315632803766885,0.07200482217405457,0.375,0.36,0.19617224880382775,0.39215686274509803,56.0,87.0,4.0,4.0,5,5,10,0.9333333333333333,29,31,60,45,45,6.779365079365079,6.185714285714286,6.185714285714286
0007CB0942,5,False,0,False,0.2199267511001759,0.4042008481323788,0.2335555397429222,0.4757283929009436,0.0474820217992089,0.3103448275862069,0.375,0.15337423312883436,0.2929936305732484,39.0,65.0,3.0,2.0,1,4,5,1.0,6,24,30,45,45,4.933333333333334,4.4376984126984125,4.4376984126984125
0007CB2224,5,False,0,False,0.5822871201686898,1.0,0.6907817500624048,0.5420207068675592,0.12468856740965459,0.2727272727272727,0.19148936170212766,0.656441717791411,0.8980891719745223,121.0,160.0,6.0,5.0,7,8,15,0.75,32,39,71,45,45,7.5,6.877777777777778,6.877777777777778
0007CB3491,5,False,0,False,0.7582071680855114,0.7319223077011779,0.76604767945571,0.4957692129547515,0.13691153061623107,0.23076923076923078,0.17647058823529413,0.8466257668711656,0.6560509554140127,152.0,122.0,5.0,7.0,9,7,16,0.6666666666666666,39,29,68,45,45,7.6,5.799999999999999,5.799999999999999
0007CB4837,5,True,0,False,0.2326714545053203,0.2999773363118549,0.2563708987026538,0.493500923429362,0.05311720607165866,0.2903225806451613,0.375,0.17791411042944785,0.17197452229299362,43.0,46.0,5.0,4.0,3,3,6,0.8333333333333334,16,18,34,45,45,4.727777777777778,3.972222222222222,3.972222222222222
0007CD72E3,5,False,0,False,0.8283469632445006,0.9890456366995155,0.9244968834603058,0.6142381601890307,0.16694008257557116,0.20930232558139536,0.25,0.9447852760736196,1.0,168.0,176.0,5.0,7.0,7,6,13,0.8571428571428572,35,33,68,45,45,7.38611111111111,6.690476190476191,6.690476190476191
0007CD77C5,5,True,0,False,0.8128926562706542,0.8486466135161357,0.8082996972159713,0.5074040525945662,0.1391838965850106,0.20930232558139536,0.28125,0.8588957055214724,0.8089171974522293,154.0,146.0,8.0,8.0,8,7,15,0.75,37,36,73,45,45,7.511111111111112,6.961111111111111,6.961111111111111
0007CDE223,5,False,0,True,1.0,0.5111907953977894,1.0,0.5441127062514591,0.15762219340142752,0.3,0.28125,1.0,0.4713375796178344,177.0,93.0,7.0,7.0,5,6,11,0.9333333333333333,28,35,63,45,45,6.7138888888888895,6.690476190476191,6.690476190476191
0007CDEC0B,5,False,0,False,0.10027248756164595,0.11044995432818218,0.11560192810334433,0.29888045021920917,0.03126462511793165,0.3333333333333333,0.34615384615384615,0.024539877300613498,0.0,18.0,19.0,3.0,4.0,4,4,8,0.8,23,23,46,45,45,6.194444444444445,4.73015873015873,4.73015873015873
0007CDEEE2,5,False,0,False,0.5811905925613915,0.8828385811076989,0.6746455658843515,0.5168015615716799,0.11606126033764454,0.225,0.3,0.6134969325153374,0.7197452229299363,114.0,132.0,6.0,4.0,6,5,11,0.8095238095238094,30,31,61,45,45,7.0361111111111105,6.400793650793651,6.400793650793651
0007CE0327,5,False,0,False,0.07469628529036525,0.23132851931111492,0.0774990047896256,0.32926166668987233,0.026728616085661464,0.5294117647058824,0.3,0.0,0.14012738853503184,14.0,41.0,4.0,4.0,5,5,10,0.7142857142857143,24,32,56,45,45,6.647222222222222,6.311507936507937,6.311507936507937
0007CB64B4,6,False,0,False,0.7478789375792665,1.0,0.9641134471636912,0.43656701443311513,0.17787897415329873,0.32142857142857145,0.375,0.7578947368421053,1.0,75.0,89.0,7.0,5.0,6,7,13,0.6190476190476191,24,32,56,45,45,6.236111111111112,5.988888888888889,5.988888888888889
0007CB7051,6,False,0,True,0.9529021571456203,0.45028345613053955,0.9635467231812149,0.44735124226702233,0.2029690103426196,0.375,0.375,1.0,0.5529411764705883,98.0,51.0,5.0,4.0,9,8,17,0.5833333333333334,35,32,67,45,45,7.000000000000001,6.233333333333334,6.233333333333334
0007CD5116,6,False,0,False,0.06983577381152717,0.04270764039575169,0.07146770238905721,0.31308269052422555,0.02587582156244806,0.5,0.375,0.042105263157894736,0.0,7.0,4.0,7.0,6.0,3,2,5,0.6666666666666666,14,13,27,45,45,4.588095238095238,3.4261904761904756,3.4261904761904756
0007CD765E,6,False,0,False,0.013335927410098862,0.08331303128652534,0.020181532982605818,0.4543853442585224,0.023260285149326362,0.3333333333333333,0.47368421052631576,0.0,0.16470588235294117,3.0,18.0,5.0,8.0,2,5,7,0.6,11,22,33,45,45,5.007539682539682,4.207936507936508,4.207936507936508
0007CD86B3,6,False,0,False,1.0,0.7986248083227695,1.0,0.5117908781374481,0.17744283444780806,0.3333333333333333,0.3103448275862069,0.8736842105263158,0.9882352941176471,86.0,88.0,6.0,7.0,7,6,13,0.7142857142857143,32,29,61,45,45,6.611111111111112,6.046031746031746,6.046031746031746
0007CDAD6B,6,False,0,False,0.18718675715287772,0.08091465458500206,0.21232846697961064,0.33046173942063184,0.05057802389225202,0.3,0.47368421052631576,0.14736842105263157,0.058823529411764705,17.0,9.0,4.0,5.0,4,4,8,1.0,22,23,45,45,45,4.96984126984127,4.976190476190476,4.976190476190476
0007CDADED,6,False,0,False,0.1857974364770504,0.17515999581574704,0.19029935634020362,0.40745448187557665,0.05899065171381705,0.4090909090909091,0.4090909090909091,0.2,0.27058823529411763,22.0,27.0,5.0,4.0,5,5,10,0.6666666666666667,24,25,49,45,45,5.730555555555556,5.236111111111111,5.236111111111111
0007CDC395,6,True,0,False,0.5160980794221793,0.5255947714586703,0.5815692788727469,0.466861863527147,0.13072346555415892,0.45,0.19148936170212766,0.5473684210526316,0.5294117647058824,55.0,49.0,9.0,4.0,6,5,11,0.8,30,27,57,45,45,6.380555555555555,5.751984126984127,5.751984126984127
0007CDC443,6,False,0,False,0.1228050530844676,0.21439892078239486,0.15873047305070387,0.4035761755449885,0.06598927713911878,0.42857142857142855,0.391304347826087,0.23157894736842105,0.2235294117647059,25.0,23.0,3.0,3.0,5,5,10,0.6666666666666667,24,23,47,45,45,5.8920634920634924,4.863095238095238,4.863095238095238
0007CDE4F0,6,False,0,False,0.30248856597610285,0.747730927940434,0.3976510224571832,0.4327068425944533,0.08629165604515229,0.28125,0.5,0.35789473684210527,0.7411764705882353,37.0,67.0,2.0,7.0,5,5,10,0.7333333333333333,26,28,54,45,45,6.199999999999999,5.83531746031746,5.83531746031746
0007ABF555,7,True,0,False,0.3085844479439684,0.30267936403642454,0.31249682393744177,0.5566249762573354,0.08028229590890767,0.21951219512195122,0.1956521739130435,0.2603092783505155,0.2918454935622318,140.0,132.0,3.0,5.0,4,4,8,0.6666666666666666,19,20,39,45,45,4.504761904761904,4.4527777777777775,4.4527777777777775
0007ACA781,7,False,0,False,0.22496138547024908,0.36966582058983144,0.2750282263710084,0.6291956329069838,0.07083655690651847,0.23076923076923078,0.15254237288135594,0.18298969072164947,0.296137339055794,110.0,133.0,6.0,5.0,5,4,9,0.7,22,17,39,45,45,5.107539682539683,4.249206349206348,4.249206349206348
0007CB2224,7,False,0,False,0.16373757164436756,0.3797920728848785,0.22355258941550374,0.41316354284358225,0.05286886510304261,0.28125,0.2,0.08762886597938144,0.18454935622317598,73.0,107.0,3.0,6.0,2,4,6,1.0,10,22,32,45,45,4.883730158730159,4.569444444444445,4.569444444444445
0007CD38E5,7,False,0,True,0.787609984139491,0.6599864571466024,0.8803798760751733,0.5958921009692734,0.15912430705349578,0.14754098360655737,0.140625,0.6597938144329897,0.6909871244635193,295.0,225.0,4.0,6.0,7,6,13,0.6190476190476191,31,29,60,45,45,6.388888888888889,5.875,5.875
0007CD72E3,7,False,0,True,1.0,0.6148111740910042,1.0,0.5571549821510693,0.21268654155970562,0.05660377358490566,0.11538461538461539,1.0,0.8412017167381974,427.0,260.0,6.0,2.0,7,7,14,0.7619047619047619,32,31,63,45,45,6.844444444444445,5.975,5.975
0007CD7FB2,7,True,0,False,0.3472598027575941,1.0,0.5079822923833608,0.5785514138183999,0.11038927045976064,0.15,0.1232876712328767,0.34536082474226804,1.0,173.0,297.0,5.0,3.0,7,7,14,0.6428571428571429,31,33,64,45,45,6.922222222222222,6.222222222222221,6.222222222222221
0007CD81D3,7,False,0,True,0.5348180441124119,0.9132423359917327,0.7498084779785621,0.5651998549088331,0.14838538464951445,0.09278350515463918,0.15517241379310345,0.5567010309278351,0.8111587982832618,255.0,253.0,4.0,6.0,7,6,13,0.6785714285714286,33,30,63,45,45,7.1,6.055555555555555,6.055555555555555
0007CDEAA7,7,False,0,False,0.24011351070968187,0.4338611061846348,0.31110438582251126,0.49039229628056047,0.08045082253548713,0.32142857142857145,0.1836734693877551,0.2268041237113402,0.27467811158798283,127.0,128.0,3.0,5.0,5,6,11,0.6190476190476191,22,29,51,45,45,6.388888888888889,5.5,5.5
0007CDEEE2,7,False,0,False,0.08172155917048986,0.1935816711624832,0.10799259802065818,0.41987544925484055,0.035208278305621045,0.3333333333333333,0.18,0.0,0.0,39.0,64.0,3.0,1.0,5,5,10,0.8,25,26,51,45,45,6.391666666666667,5.307539682539682,5.307539682539682
0007CE0327,7,False,0,False,0.17857036583021457,0.3059822131161444,0.20615951996429732,0.49729201285428454,0.049767677517946605,0.3103448275862069,0.17647058823529413,0.07731958762886598,0.19313304721030042,69.0,109.0,3.0,1.0,5,5,10,0.8,25,25,50,45,45,6.333730158730159,5.308333333333333,5.308333333333333
0007CA3A3A,8,False,0,False,0.4632309144571568,0.44008699732033896,0.48851059852864054,0.5021086038036945,0.08770466448202725,0.10588235294117647,0.13432835820895522,0.4076086956521739,0.3135593220338983,167.0,153.0,4.0,8.0,4,3,7,0.5,11,10,21,44,44,4.611111111111111,3.3499999999999996,3.3499999999999996
0007CB0942,8,False,0,False,0.27027721706829766,0.22807435053102187,0.2707695396118301,0.3501355020046217,0.04995520858348792,0.09,0.1125,0.19293478260869565,0.10734463276836158,88.0,80.0,7.0,5.0,0,0,0,,0,0,0,1,1,1.0,1.0,1.0
0007CB30A6,8,False,0,False,0.36079188937157386,0.2937436157471992,0.37634125870401347,0.4706325667205597,0.06987029210903144,0.1111111111111111,0.11688311688311688,0.30978260869565216,0.1497175141242938,131.0,95.0,6.0,7.0,1,1,2,1.0,1,3,4,44,44,2.6944444444444446,2.1166666666666667,2.1166666666666667
0007CB486D,8,True,0,False,0.5706419610272137,0.7712755009977105,0.6054917797714066,0.5590416448750724,0.105555271285243,0.10714285714285714,0.1232876712328767,0.5244565217391305,0.6299435028248588,210.0,265.0,7.0,9.0,5,6,11,0.6190476190476191,21,21,42,44,44,6.111111111111111,5.0,5.0
0007CD5116,8,False,0,False,0.05115467491421258,0.10626591853736879,0.048724891173318,0.31726547021522095,0.021569286058685095,0.15,0.16981132075471697,0.0,0.0,17.0,42.0,8.0,2.0,2,2,4,0.6666666666666666,7,3,10,44,44,3.5277777777777777,2.427777777777778,2.427777777777778
0007CD86B3,8,False,0,True,0.8589232154753257,0.7610287104788725,0.8688964057169033,0.48944203390605895,0.14502380486628755,0.08490566037735849,0.057692307692307696,0.7961956521739131,0.6694915254237288,310.0,279.0,9.0,9.0,5,5,10,1.0,22,21,43,44,44,5.908730158730158,5.732142857142858,5.732142857142858
0007CDC91B,8,False,0,False,0.9999999999999999,0.5990728322026793,0.9674776857136586,0.5255901473113412,0.15729004123506846,0.1232876712328767,0.06428571428571428,0.904891304347826,0.536723163841808,350.0,232.0,6.0,8.0,6,6,12,0.8,23,23,46,44,44,6.224206349206348,5.789682539682539,5.789682539682539
0007CDDBAF,8,False,0,True,0.4151418418342209,0.48338945333935907,0.421134084477905,0.4649678466563954,0.07229337652100751,0.12,0.13043478260869565,0.33152173913043476,0.3700564971751412,139.0,173.0,6.0,6.0,5,5,10,0.8,19,21,40,44,44,6.224206349206348,5.732142857142858,5.732142857142858
0007CDE223,8,False,0,False,0.9672704051490788,1.0,1.0,0.5380002452317801,0.18073469120359026,0.07317073170731707,0.08333333333333333,1.0,1.0,385.0,396.0,7.0,7.0,5,5,10,1.0,22,21,43,44,44,5.908730158730158,5.732142857142858,5.732142857142858
0007CDEC0B,8,False,0,False,0.6090514384854355,0.8413563802650871,0.6506885405697811,0.655666240870305,0.11000336365557152,0.09574468085106383,0.15517241379310345,0.5489130434782609,0.731638418079096,219.0,301.0,8.0,7.0,5,5,10,1.0,22,21,43,44,44,5.908730158730158,5.732142857142858,5.732142857142858
0007CA3A3A,10,False,0,False,0.4570982681375755,0.5552088015982923,0.49978503482507175,0.4748825826364502,0.10696965346640104,0.11538461538461539,0.12857142857142856,0.465,0.5793650793650794,118.0,109.0,5.0,4.0,8,8,16,0.6428571428571429,32,28,60,45,45,6.922222222222222,5.511111111111111,5.511111111111111
0007CB0942,10,False,0,False,0.257760200208632,0.4816799391216683,0.30542784896273406,0.4820130224917145,0.07302828399897097,0.20930232558139536,0.1875,0.2,0.4126984126984127,65.0,88.0,8.0,6.0,5,6,11,0.7619047619047619,21,28,49,45,45,6.966666666666666,5.5285714285714285,5.5285714285714285
0007CB2302,10,True,0,False,0.08523697624000144,0.23045078585880732,0.1274881684020815,0.4138873479678001,0.040970466730451925,0.2647058823529412,0.23076923076923078,0.0,0.07936507936507936,25.0,46.0,6.0,4.0,1,2,3,1.0,7,9,16,45,45,2.9194444444444447,2.4662698412698414,2.4662698412698414
0007CB30A6,10,False,0,False,0.36608494846001977,0.19268017248488958,0.43873778956009424,0.46332625256920434,0.09473474223977295,0.12162162162162163,0.2903225806451613,0.37,0.0,99.0,36.0,4.0,3.0,6,2,8,0.7333333333333333,26,9,35,45,45,6.1000000000000005,3.325,3.325
0007CB3713,10,False,0,False,0.14627311093195353,0.581500290134073,0.2246731618394091,0.42412134188025646,0.050918561698342996,0.24324324324324326,0.2,0.065,0.4126984126984127,38.0,88.0,1.0,6.0,3,5,8,0.6190476190476191,13,25,38,45,45,6.252777777777776,4.938492063492063,4.938492063492063
0007CB47A6,10,False,0,False,0.31012282886584436,0.8102575267984341,0.45754616328864495,0.555726530061236,0.10377549712832143,0.2903225806451613,0.10975609756097561,0.31,0.6746031746031746,87.0,121.0,6.0,5.0,6,5,11,0.8,27,24,51,45,45,6.308333333333334,5.337301587301587,5.337301587301587
0007CDDBAF,10,False,0,False,0.41437521412958916,0.9999999999999999,0.5876247963832142,0.5237642423493764,0.12075423414563023,0.13636363636363635,0.19148936170212766,0.465,0.8571428571428571,118.0,144.0,7.0,7.0,6,5,11,0.8095238095238094,30,24,54,45,45,7.144444444444444,5.319444444444445,5.319444444444445
0007CDE223,10,False,0,True,1.0,0.6459844245298618,1.0,0.5101438052189015,0.1959479854741828,0.140625,0.11392405063291139,1.0,0.9206349206349206,225.0,152.0,6.0,6.0,5,6,11,0.7619047619047619,24,30,54,45,45,6.966666666666667,5.998809523809523,5.998809523809523
0007CDEC0B,10,False,0,True,0.6418518472553009,0.9530301427377095,0.7852206378597774,0.5227116697642975,0.16532870754852302,0.11538461538461539,0.15,0.78,1.0,181.0,162.0,7.0,6.0,5,6,11,0.8095238095238094,25,29,54,45,45,7.155555555555555,5.763888888888889,5.763888888888889
0007CE0327,10,False,0,False,0.1437596629277752,0.22347553248336918,0.1845618474524911,0.3724434068737193,0.04757186756940253,0.23076923076923078,0.20930232558139536,0.06,0.0873015873015873,37.0,47.0,3.0,6.0,5,5,10,0.8095238095238094,25,26,51,45,45,7.052777777777778,5.5476190476190474,5.5476190476190474
0007CA3A72,11,True,0,False,0.9495113954600718,0.514357518770678,0.918678862017073,0.502896764900961,0.11350712859252034,0.08571428571428572,0.0743801652892562,0.864406779661017,0.4279661016949153,220.0,162.0,4.0,3.0,7,7,14,0.6428571428571429,30,26,56,45,45,6.988888888888888,5.166666666666667,5.166666666666667
0007CB0B74,11,False,0,False,0.699601443309427,0.693749643131467,0.7689308336746876,0.5477785202308736,0.10133431133593149,0.09183673469387756,0.09473684210526316,0.615819209039548,0.5677966101694916,176.0,195.0,5.0,4.0,6,5,11,0.8666666666666666,27,26,53,45,45,6.669444444444443,5.6460317460317455,5.6460317460317455
