Mouse_RFID,Group_ID,mutant,Timestamp_base1,RC,authority,hub,eigenvector_centrality,constraint,pagerank,incloseness,outcloseness,normed instrength,normed outstrength,instrength,outstrength,out persistance,in persistance,indegree,outdegree,degree,transitivity,summed cocitation,summed bibcoupling,summed common neighbors,summed insubcomponent,summed outsubcomponent,summed injaccard,summed outjaccard,summed jaccard
0007AC2B02,1,False,0,True,1.0,0.39565531550487226,1.0,0.5098807265984661,0.17610275618430807,0.06716417910447761,0.09278350515463918,1.0,0.35735735735735735,316.0,185.0,5.0,3.0,9,8,17,0.6111111111111112,35,29,64,45,45,7.2,5.699999999999999,5.699999999999999
0007CB0942,1,False,0,False,0.2662192061397542,0.14462599388581573,0.2876085370458132,0.48064374081934275,0.06338559086128819,0.125,0.16363636363636364,0.11328125,0.0,89.0,66.0,3.0,3.0,2,4,6,0.6666666666666666,10,20,30,45,45,4.448015873015873,4.0817460317460315,4.0817460317460315
0007CB44CE,1,False,0,False,0.42948093817303834,1.0,0.6886244464170787,0.48676094985597107,0.1598290358815971,0.07563025210084033,0.03643724696356275,0.64453125,1.0,225.0,399.0,1.0,2.0,7,8,15,0.6785714285714286,29,35,64,45,45,7.1,6.377777777777777,6.377777777777777
0007CB7051,1,False,0,False,0.3920823070822018,0.19386235087065928,0.4161454672176897,0.4811692385050048,0.08693095454478443,0.10344827586206896,0.140625,0.29296875,0.05405405405405406,135.0,84.0,4.0,5.0,6,4,10,0.7619047619047619,27,19,46,45,45,6.825000000000001,4.625396825396825,4.625396825396825
0007CD6778,1,False,0,False,0.18664158416775062,0.19201123943217016,0.1945160314827839,0.4330346410645974,0.0471673020080359,0.16363636363636364,0.140625,0.0,0.05105105105105105,60.0,83.0,6.0,4.0,3,4,7,1.0,18,24,42,45,45,5.957142857142856,5.003174603174602,5.003174603174602
0007CD765E,1,False,0,False,0.2419632598662078,0.19861885009576705,0.2519007783667136,0.4822413964401652,0.057964719813135016,0.15254237288135594,0.1232876712328767,0.06640625,0.05105105105105105,77.0,83.0,3.0,3.0,4,3,7,0.6666666666666666,20,18,38,45,45,4.366666666666667,4.246031746031746,4.246031746031746
0007CD77C5,1,True,0,True,0.6820258083411745,0.6774905769611897,0.8696650106019648,0.5243270647322263,0.17959181556462844,0.0625,0.09375,0.8515625,0.6156156156156156,278.0,271.0,5.0,4.0,6,6,12,0.8095238095238094,29,31,60,45,45,7.0249999999999995,6.211111111111111,6.211111111111111
0007CDADED,1,False,0,False,0.3823886600485051,0.35281679147111844,0.4205326297092817,0.48325213510663095,0.08120735770359484,0.13846153846153847,0.10465116279069768,0.2265625,0.2132132132132132,118.0,137.0,2.0,4.0,5,6,11,0.7142857142857143,25,32,57,45,45,6.722222222222222,6.211111111111111,6.211111111111111
0007CDC443,1,False,0,False,0.30162055147887246,0.1637659617707986,0.34864719898523017,0.4484175619605354,0.07403049996369003,0.09782608695652174,0.14516129032258066,0.18359375,0.018018018018018018,107.0,72.0,5.0,4.0,5,4,9,0.8,26,20,46,45,45,5.5019841269841265,4.6230158730158735,4.6230158730158735
0007CDDBAF,1,False,0,False,0.25980719796884155,0.3341854644419473,0.3179147021502292,0.48252161293729795,0.07378996747493795,0.10975609756097561,0.13846153846153847,0.15234375,0.17417417417417416,99.0,124.0,3.0,5.0,5,5,10,0.9333333333333333,27,26,53,45,45,6.729365079365079,5.515873015873017,5.515873015873017
0007CB2224,2,False,0,False,0.10161710272524516,0.07472484729788426,0.11046744820483619,0.35215464490447745,0.03585124736062572,0.2571428571428571,0.24324324324324326,0.05384615384615385,0.0,37.0,29.0,4.0,4.0,1,0,1,,3,0,3,45,0,1.8190476190476192,1.2,1.2
0007CB3491,2,False,0,False,0.5005696245453433,0.4000709627512393,0.5914681507521352,0.53129064091245,0.10834498120336845,0.225,0.2,0.5461538461538461,0.3819444444444444,165.0,139.0,5.0,5.0,8,6,14,0.6071428571428571,31,24,55,45,45,6.6000000000000005,5.817460317460316,5.817460317460316
0007CB4837,2,True,0,False,0.6314216471941136,1.0,0.828278358118597,0.5551561864364275,0.14403011926025858,0.1836734693877551,0.16071428571428573,0.7307692307692307,1.0,213.0,317.0,2.0,2.0,6,7,13,0.6666666666666666,25,28,53,45,45,6.288888888888889,5.7861111111111105,5.7861111111111105
0007CB6AB4,2,False,0,True,1.0,0.7561305339776346,0.9999999999999999,0.5659613272829591,0.1647123540874741,0.24324324324324326,0.17307692307692307,0.9846153846153847,0.9166666666666666,279.0,293.0,5.0,6.0,6,8,14,0.6071428571428571,24,30,54,45,45,6.6000000000000005,5.844444444444445,5.844444444444445
0007CD5116,2,False,0,False,0.10891407911992348,0.07941927235497648,0.09945194587586828,0.4159624470098958,0.03463025672023369,0.25,0.3,0.06923076923076923,0.020833333333333332,41.0,35.0,3.0,3.0,3,3,6,1.0,15,14,29,45,45,5.083333333333334,3.677380952380952,3.677380952380952
0007CDE223,2,False,0,False,0.2009157438827664,0.24648959506741708,0.24752151936071642,0.4677455688816869,0.06093861052585926,0.3103448275862069,0.15254237288135594,0.18846153846153846,0.2465277777777778,72.0,100.0,6.0,7.0,3,4,7,0.5,16,15,31,45,45,4.677777777777778,3.65,3.65
0007CDE4F0,2,False,0,False,0.0629098037640284,0.15381939733531066,0.07824259085389262,0.4065780915341319,0.02958990148956719,0.14754098360655737,0.225,0.0,0.09722222222222222,23.0,57.0,7.0,6.0,3,3,6,1.0,15,14,29,45,45,5.083333333333334,3.677380952380952,3.677380952380952
0007CDEAA7,2,False,0,False,0.4098440181288854,0.3325100254807817,0.44567851623952714,0.5452124425562226,0.08140769867486747,0.2727272727272727,0.1956521739130435,0.38461538461538464,0.2881944444444444,123.0,112.0,4.0,4.0,5,4,9,0.8,25,21,46,45,45,5.7103174603174605,5.121031746031745,5.121031746031745
