Mouse_RFID,Group_ID,mutant,Timestamp_base1,RC,authority,hub,eigenvector_centrality,constraint,pagerank,incloseness,outcloseness,instrength,outstrength,indegree,outdegree,transitivity,summed cocitation,summed bibcoupling,summed insubcomponent,summed outsubcomponent,summed injaccard,summed outjaccard
0007AC2B02,1,False,0,True,0.0,0.08573471290566859,0.0,-0.03276662409338693,-0.0030514495328894664,0.12432518259765005,0.171922377198302,-199.0,-108.0,0,0,0.11111111111111105,2,3,0,0,0.20000000000000018,0.3777777777777782
0007CB0942,1,False,0,False,-0.04475660575433982,-0.010245930406539538,-0.027653780447298992,-0.07891206231736303,-0.005037750881870355,0.235,0.13636363636363635,-57.0,-46.0,2,-1,0.13333333333333341,12,-5,0,0,1.3765873015873011,-0.46269841269841283
0007CB44CE,1,False,0,False,-0.23472396561883047,-0.5503638737827525,-0.4027059678783209,-0.054558032307936766,-0.09226860061790565,0.29936974789915966,0.2068059962796805,-191.0,-342.0,-3,-4,0.0357142857142857,-9,-14,0,0,-1.5555555555555554,-1.9198412698412692
0007CB7051,1,False,0,False,0.10463974642321938,0.6858487253078661,0.2663103393637933,0.024208962164182446,0.05838418117449441,0.11083743842364531,0.1321022727272727,-47.0,16.0,0,3,0.04761904761904756,2,14,0,0,0.7361111111111116,1.4162698412698411
0007CD6778,1,False,0,False,0.06306311740224707,0.17218209648331798,0.11197804644390752,0.008703033373437696,0.016362958302957087,0.21136363636363636,0.04304846938775511,-28.0,-33.0,1,3,-0.2857142857142857,1,10,0,0,0.43928571428571495,0.8607142857142867
0007CD765E,1,False,0,False,0.17004621911516804,0.010560014113666943,0.15763949355864754,-0.07104176599985162,0.023809294456294802,0.052003081664098616,0.30528375733855184,-23.0,-57.0,1,-1,0.13333333333333341,6,-5,0,0,0.4492063492063494,-0.5817460317460315
0007CD77C5,1,True,0,True,-0.12588813481587513,0.32250942303881025,-0.05787619441585867,-0.07038316258021193,-0.003587336489446341,0.09539473684210525,0.04471153846153847,-173.0,-159.0,1,1,-0.08730158730158721,6,1,0,0,0.7785714285714285,-0.18055555555555625
0007CDADED,1,False,0,False,-0.18578701761741603,-0.03528285761235894,-0.1898912610384494,-0.05934438027424349,-0.01690663549999423,0.11868131868131865,0.16005471956224349,-84.0,-92.0,0,0,0.04761904761904756,0,-2,0,0,-0.11825396825396783,-0.5575396825396828
0007CDC443,1,False,0,False,-0.10757127309151385,0.1332173019491542,-0.1221959156778305,-0.005666431968575469,-0.0172729377317746,0.23550724637681159,0.14516129032258066,-78.0,-27.0,0,1,0.009523809523809379,4,5,0,0,0.7873015873015881,0.42976190476190457
0007CDDBAF,1,False,0,False,0.3024081029674106,0.1558774745042521,0.29711186129768674,-0.028997264557689417,0.039568276820134377,0.10452961672473866,0.13426573426573424,-26.0,-58.0,0,0,-0.06666666666666676,2,-1,0,0,0.3075396825396828,-0.48293650793650844
0007CB2224,2,False,0,False,-0.06673607332737529,0.03859849824625114,-0.07193589229821049,0.030058397980799623,-0.0001745102478874494,0.08901098901098903,0.16584766584766586,-24.0,3.0,2,3,,5,10,0,45,1.515079365079365,1.9686507936507935
0007CB3491,2,False,0,False,-0.08024643798861081,0.28677944849798087,-0.05769020573413641,-0.09567315251447106,-0.0038629495270341013,-0.010714285714285732,0.15999999999999998,-88.0,-32.0,-2,0,-0.0357142857142857,-10,-2,0,0,-1.0000000000000009,-0.614285714285713
0007CB4837,2,True,0,False,-0.42202052270815754,-0.8998854889027077,-0.6108784300499783,-0.12969782139443625,-0.08971349526142125,0.24489795918367344,0.14963054187192118,-175.0,-295.0,-2,-3,-0.2666666666666666,-13,-19,0,0,-2.2075396825396822,-2.583730158730158
0007CB6AB4,2,False,0,True,-0.17327166099399716,0.2041053465762691,-0.0716448050652232,-0.020352241008504635,0.017323589637985776,-0.023731048121292037,0.2182274247491639,-129.0,-123.0,0,-2,0.1261904761904762,-1,-7,0,0,-0.23730158730158735,-0.332936507936509
0007CD5116,2,False,0,False,-0.05923126326619282,-0.013427030389922531,-0.034363161325177125,-0.04025713933001113,0.0017664981573530317,0.2,0.2,-25.0,-22.0,-1,-1,0.0,-10,-9,0,0,-1.4761904761904758,-1.1555555555555554
0007CDE223,2,False,0,False,0.07246291088521944,0.10213528912124148,0.10228143619470037,-0.015395299731963408,0.032384500229944824,0.1896551724137931,0.12018489984591677,-9.0,-39.0,2,1,0.09999999999999998,2,4,0,0,0.3464285714285724,1.0424603174603173
0007CDE4F0,2,False,0,False,0.10126064752779311,0.11477074323536565,0.10803572772936057,0.06433706916029802,0.011711360384353543,0.26154992548435174,0.01824324324324325,2.0,-12.0,0,1,-0.33333333333333337,-2,3,0,0,-0.30952380952380976,0.4555555555555557
