Mouse_RFID,Group_ID,mutant,Timestamp_base3,RC,authority,hub,eigenvector_centrality,constraint,pagerank,incloseness,outcloseness,instrength,outstrength,indegree,outdegree,transitivity,summed cocitation,summed bibcoupling,summed insubcomponent,summed outsubcomponent,summed injaccard,summed outjaccard
0007AC2B02,1,False,0,True,0.9999999999999999,0.5685343659955133,1.0,0.4962877188216987,0.17234385636150612,0.0391304347826087,0.03879310344827586,483.0,340.0,9,9,0.4722222222222222,28,28,45,45,5.6,5.6
0007CB0942,1,False,0,False,0.32939017810638493,0.17403712501402102,0.34776185758728523,0.4345233934773424,0.06648818023562134,0.06,0.09278350515463918,159.0,98.0,1,1,,8,8,45,45,2.5150793650793646,2.4916666666666667
0007CB44CE,1,False,0,False,0.46525809434017923,1.0,0.6338112397546668,0.47425002863387583,0.12788499113342192,0.04,0.024,296.0,527.0,7,8,0.6071428571428571,27,30,45,45,5.855555555555556,5.888888888888889
0007CB7051,1,False,0,False,0.4940192979736992,0.4061735828075535,0.5423500226404199,0.4668322886898331,0.10815539264528583,0.041474654377880185,0.05555555555555555,270.0,214.0,7,4,0.6190476190476191,31,19,45,45,5.855555555555556,5.171031746031747
0007CD6778,1,False,0,False,0.22640648741314803,0.2769849764115087,0.24474616021094922,0.44239741900681034,0.05364915910103821,0.08256880733944955,0.060810810810810814,113.0,157.0,2,4,0.8333333333333334,15,23,45,45,4.252380952380952,4.7936507936507935
0007CD765E,1,False,0,False,0.3372149239807101,0.2295708705287637,0.3560074923184712,0.45944604332565525,0.06987614892132823,0.061224489795918366,0.0782608695652174,166.0,121.0,3,3,1.0,18,20,45,45,4.321428571428571,4.862301587301588
0007CD77C5,1,True,0,True,0.7487897791464746,0.8441572580787339,0.8898736065063897,0.4853820679945354,0.1687302473531383,0.03529411764705882,0.03333333333333333,433.0,443.0,5,6,0.8,23,29,45,45,5.3658730158730155,5.977777777777778
0007CDADED,1,False,0,False,0.36489456491812683,0.41305410781946267,0.3873200054453418,0.4711150370264692,0.07549859712303954,0.0703125,0.05357142857142857,177.0,211.0,4,4,0.9,22,24,45,45,5.103174603174604,5.460317460317461
0007CDC443,1,False,0,False,0.3043911274468406,0.25777055211577743,0.340559969884737,0.44255271676583613,0.06934688862202582,0.056962025316455694,0.08333333333333333,158.0,143.0,4,3,0.8,23,15,45,45,5.1079365079365076,3.95515873015873
0007CDDBAF,1,False,0,False,0.3923553038486107,0.4278451595076721,0.44081188140453226,0.47598962660557087,0.08802653850359468,0.05202312138728324,0.07692307692307693,209.0,210.0,4,4,1.0,23,24,45,45,5.178571428571429,5.484126984126983
0007CB2224,2,False,0,False,0.09205465204491763,0.0975645513393651,0.08655695984517521,0.5579548502393281,0.033835818607133424,0.140625,0.1875,65.0,76.0,0,1,,0,1,0,45,1.3333333333333333,1.45
0007CB3491,2,False,0,False,0.504457391303168,0.5667206360091491,0.5191428002194326,0.5493816492626358,0.10073196103976235,0.1111111111111111,0.140625,288.0,313.0,5,5,0.5714285714285714,15,18,45,45,4.46031746031746,5.184523809523809
0007CB4837,2,True,0,False,0.5826152541982951,0.7038261129730621,0.5919040744913042,0.5891892517641313,0.1061794530655053,0.09782608695652174,0.10112359550561797,308.0,385.0,5,4,0.6,17,12,45,45,4.674603174603174,4.0059523809523805
0007CB6AB4,2,False,0,True,1.0,1.0,1.0,0.6682056328689245,0.1926548493617964,0.0989010989010989,0.1111111111111111,612.0,626.0,7,6,0.5238095238095238,17,17,45,45,4.527777777777778,5.035714285714286
0007CD5116,2,False,0,False,0.08421431326122596,0.0849329831929559,0.07594406642279884,0.3399840796428708,0.0336130777766863,0.21428571428571427,0.17307692307692307,68.0,68.0,2,3,0.3333333333333333,4,9,45,45,2.442460317460317,3.0249999999999995
0007CDE223,2,False,0,False,0.26206416657943854,0.36905472854160637,0.2785684583958277,0.5821500855841678,0.07192513561529612,0.16363636363636364,0.1232876712328767,179.0,223.0,2,3,0.5,1,13,45,45,1.9900793650793651,3.838095238095238
0007CDE4F0,2,False,0,False,0.1432786703386703,0.21369964851727086,0.1452773275118636,0.3893600921527242,0.03991992111538517,0.1956521739130435,0.13043478260869565,80.0,128.0,2,2,0.0,7,7,45,45,2.746031746031746,2.7607142857142852
0007CDEAA7,2,False,0,False,0.40910675865556984,0.3365252069718546,0.3990441941011232,0.5288651581993102,0.07634717053269499,0.16071428571428573,0.16363636363636364,217.0,197.0,3,2,0.8333333333333334,12,7,45,45,3.4642857142857144,3.0047619047619047
0007CDEC0B,2,False,0,True,0.9774149783330088,0.8986895820041383,0.9859950278176779,0.6527126946132206,0.17774439625345087,0.075,0.1956521739130435,558.0,505.0,4,4,1.0,15,17,45,45,4.482142857142858,5.0476190476190474
0007CDEEE2,2,False,0,True,0.9828268777173266,0.6470192245420608,0.9298283717059891,0.7583624661340439,0.16704821663228905,0.20930232558139536,0.07964601769911504,547.0,401.0,4,4,0.8,14,17,45,45,4.267857142857142,5.0476190476190474
0007CB0942,3,False,0,False,0.03249412046430411,0.07558881989361936,0.034056228750391646,0.3712233848121837,0.02874753631519036,0.2413793103448276,0.14,29.0,39.0,0,0,,0,0,0,0,1.0,1.0
0007CD38E5,3,False,0,False,0.6752109044475871,1.0,0.8072805366090793,0.810872297460646,0.1993845271896879,0.1206896551724138,0.08045977011494253,528.0,497.0,6,6,0.8666666666666666,22,22,28,28,5.857142857142857,5.857142857142857
0007CD81D3,3,False,0,True,0.8128222074877074,0.9107948717902523,0.8931440741191594,0.8739521436088669,0.22063733907397337,0.07777777777777778,0.12727272727272726,620.0,481.0,6,6,0.8666666666666666,22,22,28,28,5.857142857142857,5.857142857142857
0007CD86B3,3,False,0,True,1.0,0.9036802106369296,1.0,0.8363979196997215,0.27155599998101715,0.05426356589147287,0.1,791.0,586.0,6,6,0.8666666666666666,22,22,28,28,5.857142857142857,5.857142857142857
0007CDC395,3,True,0,False,0.1400865914399026,0.16010342678554337,0.15723923101156495,0.6639409834569567,0.05213967919598226,0.07526881720430108,0.109375,104.0,84.0,4,3,1.0,18,15,28,28,4.642857142857142,4.442857142857143
0007CDC91B,3,False,0,False,0.26091938193692,0.4214014823457352,0.2969390753125103,0.7730861317926718,0.0823626768450827,0.175,0.11290322580645161,191.0,200.0,5,4,0.8666666666666666,22,18,28,28,5.642857142857142,5.18095238095238
0007CDDBAF,3,False,0,True,0.19662406007198635,0.7098844946358741,0.2533032276602046,0.7654002687627675,0.07058758445759626,0.22580645161290322,0.1,140.0,359.0,3,5,1.0,15,22,28,28,4.680952380952381,5.404761904761905
0007CE0327,3,False,0,False,0.20977703845874277,0.6368335058368704,0.24920310703055543,0.7003638277351528,0.07458465694147003,0.1111111111111111,0.09333333333333334,156.0,313.0,4,4,1.0,19,19,28,28,5.204761904761904,5.142857142857142
0006CB224,4,False,0,False,0.07365936289349571,0.10175782802124077,0.07835892958700823,0.28611139034268485,0.03245953531460217,0.1956521739130435,0.1875,46.0,61.0,0,1,,0,3,0,45,1.2,1.5361111111111112
0007ABF555,4,True,0,False,0.285835543056897,0.310480585604905,0.35411508225690175,0.5564598962921512,0.07753352672457905,0.15254237288135594,0.16363636363636364,158.0,146.0,2,1,1.0,10,7,45,45,2.831349206349206,2.5345238095238094
