ID,0007CB0942,0007CB2224,0007CB3491,0007CB4837,0007CD72E3,0007CD77C5,0007CDE223,0007CDEC0B,0007CDEEE2,0007CE0327
0007CB0942,0,0.0322017893439606,0.0295515916783935,0.116608996539792,0.0536219207062798,0.0647031637326162,0.0657659669495309,0.0851551480959096,0.0521664416349576,0.0261942900216715
0007CB2224,0.181834613646634,0,0.551401513710874,0.415224913494809,0.402245773917289,0.286206461913365,0.423939258597587,0.146861777150917,0.19643222454073,0.134646188636578
0007CB3491,0.0702214188883869,0.232038539716074,0,0.0425605536332179,0.140910108016844,0.1322633502794,0.095109423849933,0.137341325811001,0.0359641585859826,0.0548384057288231
0007CB4837,0.0609127880704927,0.0384116771498536,0.00935610238466512,0,0.0133241115563783,0.0328137473215411,0.0198749441715051,0.0296191819464033,0.0257354445399125,0
0007CD72E3,0.238228648892906,0.316480209983835,0.263454151295022,0.113321799307958,0,0.115961514222091,0.230750334970968,0.359837799717912,0.172128799967268,0.40450391029869
0007CD77C5,0.139177586985992,0.109025143643668,0.119727684174495,0.135121107266436,0.0561443479322201,0,0.0719071013845463,0.084626234132581,0.384190499570394,0.0592669367756525
0007CDE223,0.266154541346589,0.303836366255342,0.161982276651581,0.153979238754325,0.210195488110011,0.135288433259106,0,0.260754583921015,0.26381899267624,0.382267030999716
0007CDEC0B,0.0436511522819702,0.013332052944095,0.0296276575514396,0.0290657439446366,0.0415183384527757,0.0201672198647116,0.0330281375614113,0,0.031954502679923,0.0163949872797512
0007CDEEE2,0.115228197017623,0.0768393591651861,0.0334309512037425,0.108823529411765,0.0855794462865396,0.39452123860342,0.143992853952657,0.137693935119887,0,0.120041458588523
0007CE0327,0.0251242657026661,0.022870952769642,0.0221351690564029,0,0.0873288716206597,0.0264274610310491,0.0905984814649393,0.0306770098730606,0.0521255267787734,0
