ID,0007CB0942,0007CB2224,0007CB3491,0007CB4837,0007CD72E3,0007CD77C5,0007CDE223,0007CDEC0B,0007CDEEE2,0007CE0327
0007CB0942,0,67.0666666666667,25.9,22.4666666666667,87.8666666666667,51.3333333333333,98.1666666666667,16.1,42.5,9.26666666666667
0007CB2224,67.0666666666667,0,483.266666666667,80,659.133333333333,227.066666666667,632.8,27.7666666666667,160.033333333333,47.6333333333333
0007CB3491,25.9,483.266666666667,0,8.2,230.9,104.933333333333,141.966666666667,25.9666666666667,29.3,19.4
0007CB4837,22.4666666666667,80,8.2,0,21.8333333333333,26.0333333333333,29.6666666666667,5.6,20.9666666666667,0
0007CD72E3,87.8666666666667,659.133333333333,230.9,21.8333333333333,0,92,344.433333333333,68.0333333333333,140.233333333333,143.1
0007CD77C5,51.3333333333333,227.066666666667,104.933333333333,26.0333333333333,92,0,107.333333333333,16,313,20.9666666666667
0007CDE223,98.1666666666667,632.8,141.966666666667,29.6666666666667,344.433333333333,107.333333333333,0,49.3,214.933333333333,135.233333333333
0007CDEC0B,16.1,27.7666666666667,25.9666666666667,5.6,68.0333333333333,16,49.3,0,26.0333333333333,5.8
0007CDEEE2,42.5,160.033333333333,29.3,20.9666666666667,140.233333333333,313,214.933333333333,26.0333333333333,0,42.4666666666667
0007CE0327,9.26666666666667,47.6333333333333,19.4,0,143.1,20.9666666666667,135.233333333333,5.8,42.4666666666667,0
