ID,0007CB0A48,0007CB0AD4,0007CB2ED2,0007CB321B,0007CB39C9,0007CB464C,0007F2B770,0007F2B957,0007F2BA9B,0007F2CA05
0007CB0A48,0,48,106,20,15,107,16,89,20,45
0007CB0AD4,48,0,98,26,19,46,26,58,26,22
0007CB2ED2,106,98,0,27,41,75,15,98,25,23
0007CB321B,20,26,27,0,7,26,4,17,20,17
0007CB39C9,15,19,41,7,0,7,20,25,47,16
0007CB464C,107,46,75,26,7,0,38,57,9,29
0007F2B770,16,26,15,4,20,38,0,39,57,37
0007F2B957,89,58,98,17,25,57,39,0,17,17
0007F2BA9B,20,26,25,20,47,9,57,17,0,16
0007F2CA05,45,22,23,17,16,29,37,17,16,0
