ID,0007CB0A48,0007CB0AD4,0007CB2ED2,0007CB321B,0007CB39C9,0007CB464C,0007F2B770,0007F2B957,0007F2BA9B,0007F2CA05
0007CB0A48,0,874,1248,381,544,802,346,1096,30,395
0007CB0AD4,874,0,848,236,272,526,278,817,26,248
0007CB2ED2,1248,848,0,335,726,645,372,1431,62,385
0007CB321B,381,236,335,0,209,239,209,361,30,84
0007CB39C9,544,272,726,209,0,291,276,682,30,225
0007CB464C,802,526,645,239,291,0,269,731,20,224
0007F2B770,346,278,372,209,276,269,0,538,42,151
0007F2B957,1096,817,1431,361,682,731,538,0,44,412
0007F2BA9B,30,26,62,30,30,20,42,44,0,6
0007F2CA05,395,248,385,84,225,224,151,412,6,0
