ID,0007CB0A48,0007CB0AD4,0007CB2ED2,0007CB321B,0007CB39C9,0007CB464C,0007F2B770,0007F2B957,0007F2BA9B,0007F2CA05
0007CB0A48,0,5.43096872616323,5.42657585470085,4.02502187226597,5.77610294117647,4.67718204488778,5.55394990366089,7.87892335766423,2.18111111111111,6.48067510548523
0007CB0AD4,5.43096872616323,0,3.66375786163522,3.18220338983051,7.36531862745098,5.22110266159696,3.71774580335731,6.23969808241534,2.68717948717949,5.73319892473118
0007CB2ED2,5.42657585470085,3.66375786163522,0,3.40437810945274,5.72594123048669,4.57007751937985,4.47741935483871,5.77228045655719,2.52741935483871,4.80614718614719
0007CB321B,4.02502187226597,3.18220338983051,3.40437810945274,0,3.48771929824561,3.0323570432357,3.36570972886762,4.4005540166205,2.90666666666667,3.12460317460317
0007CB39C9,5.77610294117647,7.36531862745098,5.72594123048669,3.48771929824561,0,4.75933562428408,4.17234299516908,4.91920821114369,2.61555555555556,6.15837037037037
0007CB464C,4.67718204488778,5.22110266159696,4.57007751937985,3.0323570432357,4.75933562428408,0,2.817843866171,5.79156406748746,1.90666666666667,4.39717261904762
0007F2B770,5.55394990366089,3.71774580335731,4.47741935483871,3.36570972886762,4.17234299516908,2.817843866171,0,5.52534076827757,2.28571428571429,2.33774834437086
0007F2B957,7.87892335766423,6.23969808241534,5.77228045655719,4.4005540166205,4.91920821114369,5.79156406748746,5.52534076827757,0,2.54924242424242,5.73025889967638
0007F2BA9B,2.18111111111111,2.68717948717949,2.52741935483871,2.90666666666667,2.61555555555556,1.90666666666667,2.28571428571429,2.54924242424242,0,1.71111111111111
0007F2CA05,6.48067510548523,5.73319892473118,4.80614718614719,3.12460317460317,6.15837037037037,4.39717261904762,2.33774834437086,5.73025889967638,1.71111111111111,0
