ID,0007CB0A48,0007CB0AD4,0007CB2ED2,0007CB321B,0007CB39C9,0007CB464C,0007F2B770,0007F2B957,0007F2BA9B,0007F2CA05
0007CB0A48,0,41.2608851085714,50.0308865362069,64.59743647,70.721354325,29.1743942018519,52.6737088,55.904194247619,56.3349781125,18.665961537037
0007CB0AD4,41.2608851085714,0,28.7284313833333,38.8544332857143,58.8409861181818,33.2266378380952,50.26046993125,66.2799888533333,45.9445259666667,52.8859474347826
0007CB2ED2,50.0308865362069,28.7284313833333,0,62.8319166076923,57.8197154285714,68.6854851923077,55.1293596041667,64.6749596173913,56.47017649,57.6275707857143
0007CB321B,64.59743647,38.8544332857143,62.8319166076923,0,71.1901070923077,38.5876866833333,0,59.43173447,23.41635344,0
0007CB39C9,70.721354325,58.8409861181818,57.8197154285714,71.1901070923077,0,69.5160599333333,57.2259493181818,22.965902324,48.3701201875,53.77076192
0007CB464C,29.1743942018519,33.2266378380952,68.6854851923077,38.5876866833333,69.5160599333333,0,35.31014368,64.3131934310345,60.9045013454545,39.9085573833333
0007F2B770,52.6737088,50.26046993125,55.1293596041667,0,57.2259493181818,35.31014368,0,52.02863029,25.2819189821429,12.964576125
0007F2B957,55.904194247619,66.2799888533333,64.6749596173913,59.43173447,22.965902324,64.3131934310345,52.02863029,0,70.573844,49.64407434
0007F2BA9B,56.3349781125,45.9445259666667,56.47017649,23.41635344,48.3701201875,60.9045013454545,25.2819189821429,70.573844,0,62.8741276076923
0007F2CA05,18.665961537037,52.8859474347826,57.6275707857143,0,53.77076192,39.9085573833333,12.964576125,49.64407434,62.8741276076923,0
