ID,0007CA3A72,0007CB0B74,0007CB0DBC,0007CB2407,0007F2B3FF,0007F2B59E,0007F2B8A2,0007F2B9FC,0007F2E37E,0007F2ED4
0007CA3A72,0,42,28,26,31,39,61,50,44,16
0007CB0B74,46,0,77,15,37,59,38,32,34,14
0007CB0DBC,32,47,0,30,33,63,76,47,132,31
0007CB2407,18,23,55,0,20,29,33,25,44,26
0007F2B3FF,62,32,41,23,0,68,51,52,96,34
0007F2B59E,70,67,82,21,45,0,108,52,136,46
0007F2B8A2,50,49,81,37,64,94,0,86,113,28
0007F2B9FC,37,32,56,21,25,72,81,0,52,60
0007F2E37E,47,64,84,13,73,105,73,36,0,45
0007F2ED4,29,36,48,30,29,64,63,48,70,0
