ID,0007CA3A72,0007CB0B74,0007CB0DBC,0007CB2407,0007F2B3FF,0007F2B59E,0007F2B8A2,0007F2B9FC,0007F2E37E,0007F2ED4
0007CA3A72,0,94,49,91,52,89,67,28,75,63
0007CB0B74,94,0,74,39,85,84,34,13,76,40
0007CB0DBC,49,74,0,82,182,252,154,48,368,103
0007CB2407,91,39,82,0,127,119,117,37,183,148
0007F2B3FF,52,85,182,127,0,249,243,90,706,116
0007F2B59E,89,84,252,119,249,0,294,106,295,187
0007F2B8A2,67,34,154,117,243,294,0,225,195,117
0007F2B9FC,28,13,48,37,90,106,225,0,124,94
0007F2E37E,75,76,368,183,706,295,195,124,0,183
0007F2ED4,63,40,103,148,116,187,117,94,183,0
