ID,0007CA3A72,0007CB0B74,0007CB0DBC,0007CB2407,0007F2B3FF,0007F2B59E,0007F2B8A2,0007F2B9FC,0007F2E37E,0007F2ED4
0007CA3A72,0,0.200522490538232,0.0354919275711355,0.0923873913425235,0.021840961679553,0.0520802370722656,0.0385171891649374,0.0419956376148199,0.0351610273134937,0.0561603129806329
0007CB0B74,0.235597355580041,0,0.0476050307733476,0.041074721222232,0.04844376093459,0.0428747714396376,0.112406279287722,0.0387989372900898,0.0415234989226021,0.0330517393406718
0007CB0DBC,0.148248882265276,0.168716214080233,0,0.139926031928931,0.22056126192223,0.194098413813603,0.160652795692894,0.102726991013325,0.256340632461709,0.14460847057485
0007CB2407,0.18782577650839,0.0694580549368967,0.0671572562661672,0,0.0681401320616286,0.0786698012087804,0.0954853906118557,0.064677047289504,0.100620231786151,0.131310976476946
0007F2B3FF,0.110531952873973,0.20391982182628,0.271437625344018,0.169619808587233,0,0.251997369866962,0.197251976894173,0.166350486127579,0.409571370333702,0.22348323235771
0007F2B59E,0.206426276329882,0.141351150705271,0.187084899681377,0.15337606462376,0.197365821998984,0,0.219146430374068,0.193283014769766,0.155225380001165,0.254060357823478
0007F2B8A2,0.122599071760086,0.242287782500736,0.124349947474888,0.149495126876811,0.124061741633275,0.175984723610849,0,0.382439183318854,0.104924396437312,0.180831697812669
0007F2B9FC,0.0526559069373291,0.0325743865998906,0.0321354828077591,0.0416860259817495,0.0406266288295593,0.0641230037560462,0.157994503953789,0,0.0582231669675616,0.104123301819337
0007F2E37E,0.172438414851839,0.169383815887156,0.305713516751604,0.242725436825007,0.396904452847226,0.192062762900713,0.159729521407049,0.217148132059079,0,0.16715021190659
0007F2ED4,0.139777753001078,0.0690126206384557,0.0882769158643203,0.162138905961893,0.110855578757266,0.160906495167581,0.142616790981998,0.203067864889991,0.085558499796168,0
