ID,0007CB0A48,0007CB0AD4,0007CB2ED2,0007CB321B,0007CB39C9,0007CB464C,0007F2B770,0007F2B957,0007F2BA9B,0007F2CA05
0007CB0A48,0,79.3666666666667,53.4333333333333,57.8666666666667,8.83333333333333,99.6333333333333,16.1,50.7,27.9666666666667,20.7666666666667
0007CB0AD4,79.3666666666667,0,131.733333333333,111.666666666667,34.2333333333333,79.0666666666667,160.633333333333,0,15.5,112.933333333333
0007CB2ED2,53.4333333333333,131.733333333333,0,14.4,9.7,45.2,7.16666666666667,16.7,15.5333333333333,1.03333333333333
0007CB321B,57.8666666666667,111.666666666667,14.4,0,0,36.6,27.1,11.4,42.6333333333333,9.3
0007CB39C9,8.83333333333333,34.2333333333333,9.7,0,0,12.1666666666667,14.8,7.13333333333333,10.7,16.3333333333333
0007CB464C,99.6333333333333,79.0666666666667,45.2,36.6,12.1666666666667,0,28.8666666666667,24.3666666666667,24.4666666666667,17.9
0007F2B770,16.1,160.633333333333,7.16666666666667,27.1,14.8,28.8666666666667,0,27.8,30.7,29.0333333333333
0007F2B957,50.7,0,16.7,11.4,7.13333333333333,24.3666666666667,27.8,0,32.8333333333333,0
0007F2BA9B,27.9666666666667,15.5,15.5333333333333,42.6333333333333,10.7,24.4666666666667,30.7,32.8333333333333,0,2.6
0007F2CA05,20.7666666666667,112.933333333333,1.03333333333333,9.3,16.3333333333333,17.9,29.0333333333333,0,2.6,0
