ID,0007CB0A48,0007CB0AD4,0007CB2ED2,0007CB321B,0007CB39C9,0007CB464C,0007F2B770,0007F2B957,0007F2BA9B,0007F2CA05
0007CB0A48,0,56.8417852210526,47.9239788263158,66.3664055142857,57.3517476947368,44.9540774885714,55.8068120466667,50.25691724,82.60311225,16.8317575814815
0007CB0AD4,56.8417852210526,0,41.4600085693878,37.1358831384615,61.8437873888889,43.8503391681818,50.3787750633333,59.80853606,0,66.979643
0007CB2ED2,47.9239788263158,41.4600085693878,0,55.4671876363636,33.5504092153846,63.6536100923077,50.4313898333333,48.200679865625,41.653316652381,54.2582361125
0007CB321B,66.3664055142857,37.1358831384615,55.4671876363636,0,66.19913191,55.66033572,66.4198328,0,0,0
0007CB39C9,57.3517476947368,61.8437873888889,33.5504092153846,66.19913191,0,66.71663334,31.7817122875,32.5723252523809,3.5079572,3.6438599875
0007CB464C,44.9540774885714,43.8503391681818,63.6536100923077,55.66033572,66.71663334,0,27.3068155111111,69.3221584,0,21.5444409555556
0007F2B770,55.8068120466667,50.3787750633333,50.4313898333333,66.4198328,31.7817122875,27.3068155111111,0,0,7.69082191111111,33.7337148384615
0007F2B957,50.25691724,59.80853606,48.200679865625,0,32.5723252523809,69.3221584,0,0,0,33.4913875
0007F2BA9B,82.60311225,0,41.653316652381,0,3.5079572,0,7.69082191111111,0,0,51.5244984
0007F2CA05,16.8317575814815,66.979643,54.2582361125,0,3.6438599875,21.5444409555556,33.7337148384615,33.4913875,51.5244984,0
