ID,0007CB0A48,0007CB0AD4,0007CB2ED2,0007CB321B,0007CB39C9,0007CB464C,0007F2B770,0007F2B957,0007F2BA9B,0007F2CA05
0007CB0A48,0,1.25814302107224,1.28895945692776,1.00335853862924,0.98385240755429,1.18877635392303,0.948484416412508,1.33099798985833,0.329974760705195,1.2458350734877
0007CB0AD4,1.25814302107224,0,0.921085858530389,0.909246497827647,1.0527187838963,1.47607801635193,0.911096390909105,1.20271052617662,0.717365339360305,1.24461312291045
0007CB2ED2,1.28895945692776,0.921085858530389,0,0.837527394152939,1.45643412796739,1.04565058342424,0.921730546975081,1.42007663125692,0.889406000490895,1.00989722609188
0007CB321B,1.00335853862924,0.909246497827647,0.837527394152939,0,1.07948052719182,1.12047096945587,1.99294771795252,0.903854486949982,4.26746466809438,0.750731405495377
0007CB39C9,0.98385240755429,1.0527187838963,1.45643412796739,1.07948052719182,0,0.893986000948687,1.23219238632941,0.932458743840923,1.00784854331603,1.47446437416864
0007CB464C,1.18877635392303,1.47607801635193,1.04565058342424,1.12047096945587,0.893986000948687,0,0.840837447868659,1.18821768735078,0.522238011148958,1.0880548291502
0007F2B770,0.948484416412508,0.911096390909105,0.921730546975081,1.99294771795252,1.23219238632941,0.840837447868659,0,1.28509158647603,2.74854743091356,0.692018824416091
0007F2B957,1.33099798985833,1.20271052617662,1.42007663125692,0.903854486949982,0.932458743840923,1.18821768735078,1.28509158647603,0,0.483150410082116,1.00490607170294
0007F2BA9B,0.329974760705195,0.717365339360305,0.889406000490895,4.26746466809438,1.00784854331603,0.522238011148958,2.74854743091356,0.483150410082116,0,0.303553906632785
0007F2CA05,1.2458350734877,1.24461312291045,1.00989722609188,0.750731405495377,1.47446437416864,1.0880548291502,0.692018824416091,1.00490607170294,0.303553906632785,0
