Row,0007CB0DBC,0007CB1E1F,0007CB321B,0007F29741,0007F2B770,0007F2B9FC,0007F2CA05,0007F2E37E,0007F2EEFA,0007F2F283
0007CB0DBC,0,8,12,2,8,5,8,33,20,4
0007CB1E1F,1,0,4,2,7,10,11,5,5,5
0007CB321B,0,3,0,2,2,2,6,4,1,1
0007F29741,0,1,0,0,1,0,1,2,2,0
0007F2B770,1,16,19,10,0,12,18,165,35,16
0007F2B9FC,0,6,9,9,9,0,6,14,14,6
0007F2CA05,0,8,15,4,25,8,0,25,23,14
0007F2E37E,2,51,42,27,20,42,50,0,67,30
0007F2EEFA,3,21,3,4,19,5,15,24,0,6
0007F2F283,0,2,6,2,4,3,3,5,8,0
