Row,0007CB0AD4,0007CB2ED2,0007CB321B,0007CB39C9,0007F2B770,0007F2B957,0007F2BA9B,0007F2CA05,0007F2E42C
0007CB0AD4,0,11,10,15,9,0,9,16,5
0007CB2ED2,91,0,21,28,26,44,40,43,198
0007CB321B,5,2,0,4,0,1,0,1,2
0007CB39C9,15,4,8,0,3,2,11,17,4
0007F2B770,53,58,9,17,0,21,30,41,22
0007F2B957,28,16,7,17,8,0,12,26,3
0007F2BA9B,41,129,14,25,11,16,0,29,18
0007F2CA05,66,30,20,21,9,14,23,0,19
0007F2E42C,71,32,34,65,37,70,105,86,0
