Row,0007CB0CDD,0007CB0F67,0007CB48B4,0007CB6DFA,0007F29741,0007F2B88A,0007F2C687,0007F2EEFA,0007F2F26A,0007F2F283
0007CB0CDD,0,18,6,4,24,9,5,9,10,3
0007CB0F67,12,0,9,2,9,7,9,8,9,5
0007CB48B4,19,26,0,11,29,12,16,14,17,7
0007CB6DFA,3,0,2,0,0,1,1,0,2,0
0007F29741,9,3,7,5,0,3,3,6,3,5
0007F2B88A,5,9,7,6,9,0,7,7,6,3
0007F2C687,5,6,6,2,6,1,0,4,2,0
0007F2EEFA,17,8,13,7,18,6,4,0,18,11
0007F2F26A,17,23,20,12,52,13,9,22,0,12
0007F2F283,9,22,16,10,27,11,4,19,12,0
