ID,0007CB0CDD,0007CB0F67,0007CB48B4,0007CB6DFA,0007F29741,0007F2B88A,0007F2C687,0007F2EEFA,0007F2F26A,0007F2F283
0007CB0CDD,0,48.5069444444444,273.988888888889,1.77777777777778,95.8722222222223,27.7430555555556,149.491666666667,180.823611111111,86.626388888889,61.7666666666667
0007CB0F67,48.5069444444444,0,40.2361111111111,12.1916666666667,8.06666666666667,47.5333333333334,225.411111111111,4.00416666666667,52.4111111111111,426.533333333333
0007CB48B4,273.988888888889,40.2361111111111,0,80.3569444444445,36.1555555555556,24,29.1388888888889,122.672222222222,56.3333333333333,62.6000000000001
0007CB6DFA,1.77777777777778,12.1916666666667,80.3569444444445,0,148.515277777778,6.27777777777778,29.7694444444444,9.35555555555555,18.9,301.043055555556
0007F29741,95.8722222222223,8.06666666666667,36.1555555555556,148.515277777778,0,20.9444444444444,119.570833333333,89.6458333333334,56.2291666666666,23.4777777777777
0007F2B88A,27.7430555555556,47.5333333333334,24,6.27777777777778,20.9444444444444,0,201.365277777778,36.2222222222222,181.915277777778,6.11111111111111
0007F2C687,149.491666666667,225.411111111111,29.1388888888889,29.7694444444444,119.570833333333,201.365277777778,0,68.6222222222222,295.941666666667,42.1777777777777
0007F2EEFA,180.823611111111,4.00416666666667,122.672222222222,9.35555555555555,89.6458333333334,36.2222222222222,68.6222222222222,0,15.2708333333333,19.7111111111111
0007F2F26A,86.626388888889,52.4111111111111,56.3333333333333,18.9,56.2291666666666,181.915277777778,295.941666666667,15.2708333333333,0,301.043055555556
0007F2F283,61.7666666666667,426.533333333333,62.6000000000001,301.043055555556,23.4777777777777,6.11111111111111,42.1777777777777,19.7111111111111,301.043055555556,0
