ID,0007CB64B4,0007CB7051,0007CD5116,0007CD765E,0007CD86B3,0007CDAD6B,0007CDADED,0007CDC395,0007CDC443,0007CDE4F0
0007CB64B4,0,1.83809523809524,1.86666666666667,0,2.68121212121212,0,7.48627450980392,1.90079365079365,1.7047619047619,4.3198717948718
0007CB7051,1.83809523809524,0,0,0,2.55641025641026,0,2.6962962962963,2.55729166666667,0,1.97777777777778
0007CD5116,1.86666666666667,0,0,0,1.56666666666667,0,0,1.2,0,1.48888888888889
0007CD765E,0,0,0,0,0,0,0,0,0,0
0007CD86B3,2.68121212121212,2.55641025641026,1.56666666666667,0,0,0,1.83,3.78245614035088,2.73611111111111,5.13985507246377
0007CDAD6B,0,0,0,0,0,0,0,0,0,0
0007CDADED,7.48627450980392,2.6962962962963,0,0,1.83,0,0,2.5625,0,2.27466666666667
0007CDC395,1.90079365079365,2.55729166666667,1.2,0,3.78245614035088,0,2.5625,0,2.67976190476191,3.59791666666667
0007CDC443,1.7047619047619,0,0,0,2.73611111111111,0,0,2.67976190476191,0,1.69166666666667
0007CDE4F0,4.3198717948718,1.97777777777778,1.48888888888889,0,5.13985507246377,0,2.27466666666667,3.59791666666667,1.69166666666667,0
