ID,0007CB0942,0007CD38E5,0007CD7FB2,0007CD81D3,0007CD86B3,0007CDAD6B,0007CDC395,0007CDC91B,0007CDDBAF,0007CE0327
0007CB0942,0,0,0,0,0,0,0,0,0,0
0007CD38E5,0,0,0,0,0,0,0,0,0,0
0007CD7FB2,0,0,0,0,0,0,0,0,0,0
0007CD81D3,0,0,0,0,1,0,0,1,0,0
0007CD86B3,0,0,0,0,0,0,0,0,1,0
0007CDAD6B,0,0,0,0,0,0,0,0,0,0
0007CDC395,0,0,0,0,0,0,0,0,0,0
0007CDC91B,0,0,0,0,0,0,0,0,0,0
0007CDDBAF,0,0,0,0,0,0,0,0,0,0
0007CE0327,0,0,0,0,0,0,0,0,0,0
