ID,0007CB0942,0007CB2224,0007CB3491,0007CB4837,0007CD72E3,0007CD77C5,0007CDE223,0007CDEC0B,0007CDEEE2,0007CE0327
0007CB0942,0,74,41,14,73,114,72,11,74,17
0007CB2224,71,0,105,39,140,130,332,17,124,87
0007CB3491,28,94,0,15,61,70,54,9,48,6
0007CB4837,13,15,12,0,16,16,27,7,10,2
0007CD72E3,51,138,72,20,0,129,154,34,82,23
0007CD77C5,63,112,71,20,114,0,114,17,328,37
0007CDE223,46,263,56,19,105,106,0,16,71,62
0007CDEC0B,5,15,19,5,44,18,31,0,7,16
0007CDEEE2,43,70,27,10,64,291,56,5,0,11
0007CE0327,23,80,17,7,33,39,61,9,50,0
