ID,0007CB0942,0007CB2224,0007CB3491,0007CB4837,0007CD72E3,0007CD77C5,0007CDE223,0007CDEC0B,0007CDEEE2,0007CE0327
0007CB0942,0,202,231,43,223,193,180,85,208,33
0007CB2224,202,0,856,136,491,428,739,91,338,127
0007CB3491,231,856,0,93,368,292,327,92,204,81
0007CB4837,43,136,93,0,90,90,106,23,64,19
0007CD72E3,223,491,368,90,0,304,397,128,276,88
0007CD77C5,193,428,292,90,304,0,363,87,1222,92
0007CDE223,180,739,327,106,397,363,0,156,348,147
0007CDEC0B,85,91,92,23,128,87,156,0,79,39
0007CDEEE2,208,338,204,64,276,1222,348,79,0,101
0007CE0327,33,127,81,19,88,92,147,39,101,0
