ID,0007AC2B02,0007CB0942,0007CB44CE,0007CB7051,0007CD6778,0007CD765E,0007CD77C5,0007CDADED,0007CDC443,0007CDDBAF
0007AC2B02,0,0.0617900434550583,0.295984262070735,0.187613745851621,0.0941875265167585,0.215667396061269,0.173206917742077,0.365098600859315,0.103719599427754,0.639969585603851
0007CB0942,0.0358914179434947,0,0.169182739597144,0.178621132641044,0.0365931268561731,0.0326477024070021,0.523717554794721,0.179354412250744,0.0321888412017167,0.0548979850462551
0007CB44CE,0.153241519794526,0.150796676069223,0,0.24263997430682,0.254666949512091,0.0807877461706785,0.23501009568958,0.168337556461386,0.0557343824511207,0.067748067418578
0007CB7051,0.0776060579222386,0.127201341770221,0.193858786297738,0,0.712240135765802,0.023019693654267,0.0614812863956925,0.0500165252836839,0.139186933714831,0.0700798377898871
0007CD6778,0.0196616774422106,0.0131508729130136,0.102681435230723,0.359436891125147,0,0,0.0294091826880871,0,0.0386266094420601,0.00288936763401343
0007CD765E,0.0545567265964041,0.0142181901349393,0.0394731214985246,0.01407772187132,0,0,0.0227372487051181,0.0832874297675442,0.353719599427754,0.0414142694208591
0007CD77C5,0.131055708086086,0.682206297171609,0.343454646538083,0.1124611925918,0.106597369537548,0.0680087527352298,0,0.111270243472513,0.0304601812112541,0.0743378532505384
0007CDADED,0.0733770259498716,0.0620568727605398,0.0653466193388359,0.0243014666523926,0,0.0661706783369804,0.0295554970298189,0,0.232951835956128,0.0102648586997845
0007CDC443,0.0385262598529802,0.0205839749942822,0.0399863148441176,0.124986618135103,0.0687314382689859,0.519387308533917,0.0149533257249875,0.4305387242481,0,0.158889874540616
0007CDDBAF,0.559073598441235,0.0825646108103987,0.11431381773083,0.148003425757414,0.012091641917692,0.143019693654267,0.0858279928598602,0.0446182659468987,0.373688602765857,0
