ID,0007AC2B02,0007CB0942,0007CB44CE,0007CB7051,0007CD6778,0007CD765E,0007CD77C5,0007CDADED,0007CDC443,0007CDDBAF
0007AC2B02,0,60.7666666666667,18.7,14.4333333333333,3.56666666666667,65.4333333333333,662.866666666667,23.5666666666667,20.9,108.2
0007CB0942,60.7666666666667,0,2.56666666666667,7.33333333333333,0,8.83333333333333,40.9666666666667,30.7666666666667,0,4.23333333333333
0007CB44CE,18.7,2.56666666666667,0,0,1.03333333333333,0,23.1333333333333,8,11.6,0
0007CB7051,14.4333333333333,7.33333333333333,0,0,11.8,18.1333333333333,15.1,20.9666666666667,0,83.2666666666667
0007CD6778,3.56666666666667,0,1.03333333333333,11.8,0,8.73333333333333,78.0333333333333,16.2,8.23333333333333,0
0007CD765E,65.4333333333333,8.83333333333333,0,18.1333333333333,8.73333333333333,0,56,0,0,6.06666666666667
0007CD77C5,662.866666666667,40.9666666666667,23.1333333333333,15.1,78.0333333333333,56,0,61.9333333333333,121.5,129.4
0007CDADED,23.5666666666667,30.7666666666667,8,20.9666666666667,16.2,0,61.9333333333333,0,262.166666666667,37.1333333333333
0007CDC443,20.9,0,11.6,0,8.23333333333333,0,121.5,262.166666666667,0,21.6
0007CDDBAF,108.2,4.23333333333333,0,83.2666666666667,0,6.06666666666667,129.4,37.1333333333333,21.6,0
