ID,0007AC2B02,0007CB0942,0007CB44CE,0007CB7051,0007CD6778,0007CD765E,0007CD77C5,0007CDADED,0007CDC443,0007CDDBAF
0007AC2B02,0,3.37592592592593,2.07777777777778,1.6037037037037,1.18888888888889,2.04479166666667,8.7219298245614,1.81282051282051,1.74166666666667,4.00740740740741
0007CB0942,3.37592592592593,0,1.28333333333333,2.44444444444444,0,2.94444444444444,2.40980392156863,1.80980392156863,0,1.41111111111111
0007CB44CE,2.07777777777778,1.28333333333333,0,0,1.03333333333333,0,1.92777777777778,2,2.9,0
0007CB7051,1.6037037037037,2.44444444444444,0,0,2.36,2.59047619047619,1.67777777777778,2.9952380952381,0,4.62592592592593
0007CD6778,1.18888888888889,0,1.03333333333333,2.36,0,2.18333333333333,3.25138888888889,1.8,2.05833333333333,0
0007CD765E,2.04479166666667,2.94444444444444,0,2.59047619047619,2.18333333333333,0,2.07407407407407,0,0,2.02222222222222
0007CD77C5,8.7219298245614,2.40980392156863,1.92777777777778,1.67777777777778,3.25138888888889,2.07407407407407,0,2.81515151515152,3.57352941176471,6.47
0007CDADED,1.81282051282051,1.80980392156863,2,2.9952380952381,1.8,0,2.81515151515152,0,4.03333333333333,3.09444444444444
0007CDC443,1.74166666666667,0,2.9,0,2.05833333333333,0,3.57352941176471,4.03333333333333,0,1.8
0007CDDBAF,4.00740740740741,1.41111111111111,0,4.62592592592593,0,2.02222222222222,6.47,3.09444444444444,1.8,0
