ID,0007CB0CDD,0007CB0F67,0007CB48B4,0007CB6DFA,0007F29741,0007F2B88A,0007F2C687,0007F2EEFA,0007F2F26A,0007F2F283
0007CB0CDD,0,15.3,15.6,49.85,27.1,4,61,26.75,30.45,54.8
0007CB0F67,15.3,0,9.55,6.8,24,15.2,46.05,9.8,6.75,1.9
0007CB48B4,15.6,9.55,0,97.95,81.75,35.35,9.55,13.5,24.8,23.55
0007CB6DFA,49.85,6.8,97.95,0,63.55,17.7,87.2,25.25,64.35,40.6
0007F29741,27.1,24,81.75,63.55,0,0,40.1,14.75,40.65,44.85
0007F2B88A,4,15.2,35.35,17.7,0,0,10.35,0,9.4,0
0007F2C687,61,46.05,9.55,87.2,40.1,10.35,0,8.3,33.75,13.95
0007F2EEFA,26.75,9.8,13.5,25.25,14.75,0,8.3,0,9.45,17.2
0007F2F26A,30.45,6.75,24.8,64.35,40.65,9.4,33.75,9.45,0,23.75
0007F2F283,54.8,1.9,23.55,40.6,44.85,0,13.95,17.2,23.75,0
