ID,0007CB0CDD,0007CB0F67,0007CB48B4,0007CB6DFA,0007F29741,0007F2B88A,0007F2C687,0007F2EEFA,0007F2F26A,0007F2F283
0007CB0CDD,0,0.198572290367987,0.336605042016807,0.301677972152803,0,0.155452436194896,0.22313980647314,0.585200392751941,0.155309250136836,0.526436311592721
0007CB0F67,0.0556887071760891,0,0.146420168067227,0.0392716886826134,0.122409823484267,0.096815017928707,0.0824991658324992,0.0600731946799964,0.0674603174603175,0.0511960744224085
0007CB48B4,0.141181446496546,0.218982505529861,0,0.0752112340830656,0.180353031465848,0.0641214933558321,0.133133133133133,0.0487369454610372,0.0525451559934319,0.0918012676344306
0007CB6DFA,0.0714789228817144,0.0331791675045244,0.0424873949579832,0,0.044512663085188,0.147859101455389,0.0847514180847514,0.0264214942426136,0.087096332785988,0.00233081169494991
0007F29741,0,0.0641463905087472,0.0631932773109244,0.0276091871950494,0,0,0.0844177510844177,0.0325805587788985,0.0252463054187192,0.0228174197505623
0007F2B88A,0.0207810517411533,0.0461492057108385,0.020436974789916,0.0834225871712484,0,0,0.0358692025358692,0.0311523699009194,0.0315407772304324,0.022081373952157
0007F2C687,0.0754264768081207,0.0994369595817414,0.107294117647059,0.120909199095561,0.194167306216424,0.0906981649441046,0,0,0.13232074438971,0.0500920057248007
0007F2EEFA,0.184858311010856,0.0676653931228635,0.0367058823529412,0.035225514697132,0.0700306983883346,0.0736131617802151,0,0,0.0558976464148878,0.0235943569822122
0007F2F26A,0.0640067672353024,0.0991353307862457,0.0516302521008403,0.151493514221112,0.0707981580966999,0.0972368698586796,0.161327994661328,0.0729268945818085,0,0.194356982212227
0007F2F283,0.363005780346821,0.125879750653529,0.150924369747899,0.00678329168154231,0.107060629316961,0.113900021092596,0.102185518852186,0.0515040614121218,0.325191570881226,0
