ID,0007CB0AD4,0007CB2ED2,0007CB321B,0007CB39C9,0007F2B770,0007F2B957,0007F2BA9B,0007F2CA05,0007F2E42C
0007CB0AD4,0,0,0,2,0,0,0,0,0
0007CB2ED2,5,0,0,0,2,1,1,2,8
0007CB321B,0,0,0,0,0,0,0,0,0
0007CB39C9,1,1,0,0,0,0,0,0,0
0007F2B770,6,8,0,1,0,0,1,2,2
0007F2B957,2,0,0,1,0,0,0,1,0
0007F2BA9B,1,7,0,0,0,0,0,1,1
0007F2CA05,2,1,2,0,1,0,3,0,1
0007F2E42C,5,1,2,1,1,4,5,4,0
