ID,0007CB0AD4,0007CB2ED2,0007CB321B,0007CB39C9,0007F2B770,0007F2B957,0007F2BA9B,0007F2CA05,0007F2E42C
0007CB0AD4,0,0,0,0,0,0,0,0,0
0007CB2ED2,2,0,1,0,0,0,0,1,1
0007CB321B,0,0,0,0,0,0,0,0,0
0007CB39C9,0,0,0,0,0,0,1,0,0
0007F2B770,4,0,0,0,0,2,2,2,0
0007F2B957,1,0,0,1,0,0,1,0,1
0007F2BA9B,1,6,0,0,1,0,0,1,0
0007F2CA05,4,0,0,1,0,0,2,0,0
0007F2E42C,1,0,0,0,0,1,1,1,0
