Row,0007CB2224,0007CB3491,0007CB4837,0007CB6AB4,0007CD5116,0007CDE223,0007CDE4F0,0007CDEAA7,0007CDEC0B,0007CDEEE2
0007CB2224,0,0,0,0,0,0,0,0,0,0
0007CB3491,0,0,0,0,0,2,8,0,5,2
0007CB4837,0,0,0,0,0,0,0,0,0,0
0007CB6AB4,0,0,0,0,0,0,0,0,0,0
0007CD5116,0,0,0,2,0,0,0,0,0,0
0007CDE223,2,6,0,0,0,0,14,0,6,2
0007CDE4F0,0,0,0,0,0,0,0,0,0,0
0007CDEAA7,0,0,0,0,0,2,6,0,0,0
0007CDEC0B,0,0,0,4,0,17,6,2,0,2
0007CDEEE2,0,0,0,2,0,6,0,0,0,0
