Row,0007CB6AB4,0007CB7051,0007CD5116,0007CD765E,0007CD86B3,0007CDAD6B,0007CDADED,0007CDC395,0007CDC443,0007CDE4F0
0007CB6AB4,0,0,2,0,0,0,0,0,0,0
0007CB7051,2,0,2,2,0,6,0,4,0,2
0007CD5116,0,0,0,0,0,0,0,0,0,2
0007CD765E,0,0,0,0,0,0,0,0,0,0
0007CD86B3,0,0,0,0,0,0,0,0,0,0
0007CDAD6B,0,0,0,0,0,0,0,0,0,0
0007CDADED,0,0,0,0,0,0,0,0,0,0
0007CDC395,5,0,0,0,0,4,0,0,0,0
0007CDC443,0,0,0,0,0,0,0,0,0,0
0007CDE4F0,0,0,0,0,0,0,0,0,0,0
