Mouse_RFID,unique_identifier,group,repetition,fur_pattern,age,mutant,weight_pre,weight_post,weight_diff,rank_by_tube,DS_by_tube,rank_by_chasing,DS_by_chasing,chasing_pc1,chasing_pc2,log10(baseline_rate_mean),cs_plus_detection_speed,cs_plus_detection_speed_intraphase_shaping,cs_plus_detection_speed_crossreversal_shaping,cs_plus_pc1,cs_plus_pc2,cs_minus_pc1,cs_minus_pc2,switching_pc1,switching_pc2,switching_pc3,switching_pc4,switching_pc5,switching_pc6,shaping_pc1,shaping_pc2,shaping_pc3,time_in_arena_average,log10(corner_to_middle_ratio_average),ratio_social_to_total_time_average,social_interaction_pc1,social_interaction_pc2,social_interaction_pc3,social_interaction_pc4,social_interaction_pc5,social_interaction_pc6,social_interaction_pc7,social_interaction_pc8,social_interaction_pc9,chasing_pc1_new,chasing_pc2_new,cs_plus_pc1_new,cs_plus_pc2_new,cs_minus_pc1_new,cs_minus_pc2_new,switching_pc1_new,switching_pc2_new,switching_pc3_new,switching_pc4_new,switching_pc5_new,switching_pc6_new,shaping_pc1_new,shaping_pc2_new,shaping_pc3_new,social_interaction_pc1_new,social_interaction_pc2_new,social_interaction_pc3_new,social_interaction_pc4_new,social_interaction_pc5_new,social_interaction_pc6_new,social_interaction_pc7_new,social_interaction_pc8_new,social_interaction_pc9_new
0007F2B3FF,62,11,1,1,18,0,25.38,24.51,-0.869999999999997,2,18.4047619047619,10,-32.4783086478739,0.139866398013722,1.98069699324959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4214.84888888889,1.49947359358897,0.119110636363924,3.23842805412093,-3.16303438411554,1.68067275513854,-1.33943860788985,1.64897601330378,-2.13771534951337,-1.12990001689875,-0.931352872210337,1.43194284509328,-1.54235593776998,2.88471149664427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.63769416518159,-3.26494762583834,-3.55802258431686,-0.146252334678161,2.71984404001873,-0.836446193894195,0.0260831595863006,-0.845212308792512,0.271901323638386
0007CA3A72,39,11,1,4,18,1,26.68,27.12,0.440000000000001,7,-16.1845238095238,8,-18.8615844889574,-0.66190759125129,0.608668474566504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1999.32666666667,1.49496633337016,0.10564112139976,-3.91234858584955,1.02554227125829,-0.502891764801279,1.43681333776755,-4.16251189004414,2.11483084325425,-1.89793037379779,1.00782394099669,-1.17002251668119,-1.82294536476509,1.24991240369536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.88271753432607,4.77114261939569,-1.25330161388498,1.29402892551914,-2.22982578022191,1.92149422250773,0.514391298976864,-0.10629449539836,0.912477698760332
0007CB0B74,43,11,1,2,18,0,27.92,27.81,-0.110000000000003,4,11.5714285714286,5,-1.22932622932623,0.954158016812852,0.708254768764228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2706.72666666667,1.62346009322923,0.0871655554433521,-3.60508266775512,0.0999107239832594,1.61627610942036,1.49371782388002,-3.58816638832994,1.17169376836959,-1.94272743812578,-0.0715212721390737,-0.540156098709347,1.13968786247284,1.3172059968611,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.26087489010935,4.63685670434218,-0.759689800613144,3.13542131144506,-0.12594531679563,2.69789586786367,0.497879119526096,-0.363478049876623,1.95546080651433
0007CB0DBC,45,11,1,7,18,1,28.07,28.31,0.239999999999998,10,-17.8095238095238,2,33.4307647907648,0.21168847355295,-1.47108776647831,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4073.72,1.42576101108756,0.121054520738348,3.95971943831231,-1.91547796983602,3.68950050456262,-0.16586667926681,0.979128691221142,-1.89403088091465,-2.01969500798095,-1.01034479920271,0.264534751937227,2.26445337085783,-1.69593072934678,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27913760936053,1.24694318930315,-2.4591250016532,2.29554384424406,3.47045727351365,-1.68399391452355,-0.371158124433715,-1.14764056875957,0.733520522868637
0007CB2407,50,11,1,9,18,1,24.12,23.92,-0.199999999999999,5,6,6,-4.58428671124018,0.934106305602189,2.76808453005822,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2757.80222222222,1.18315843521963,0.0853272049965713,-4.40042279150479,-1.88041350809973,2.20995961085808,-1.62826037537377,-0.755344972993594,-1.06084160731737,-1.41911578371825,-1.74464003072307,-0.536705632807808,0.900107255081619,2.98848431567547,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.87264624893981,-4.17531887930482,-3.46229779315794,2.78491053354458,0.770992306247834,-0.568315735708324,2.21609430570423,-2.17126894782426,0.829219376445461
0007F2B8A2,66,11,1,5,18,1,25.69,26.71,1.02,6,-14.375,4,-0.0642686630638458,1.06891605971006,2.88636510537745,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4104.01555555555,1.5250097787926,0.112781682114049,5.02246044651003,-1.12625498288049,0.212812232671067,-0.277642445222569,-0.487256206305036,0.13729476457934,-2.11610384251559,0.00218615095773708,-0.663351835553423,1.03996628122227,3.13241487399904,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.87330426016706,0.890798859017915,-2.03640655505656,0.138052048942154,-1.43254515328228,0.611105279672572,0.42747481211548,0.140015835309908,1.13155757059169
0007F2B9FC,69,11,1,8,18,0,25.71,26.39,0.68,9,-17.5190476190476,9,-21.7966551104263,0.164129950718714,1.40970332539211,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3094.08444444444,1.62432754283339,0.0925867138582728,-2.28415695811571,-0.886590364137728,0.051416716616245,-0.199830447922842,-2.35308990246261,1.37437351109379,-1.87760670478681,1.28007949175229,0.0620100840189971,-0.61050225422994,2.06761381388232,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.91445154423684,4.63208564534008,-3.27120350889972,-1.5222392939861,1.21118640555997,-0.435471951683719,0.626381912365729,0.347403993065106,2.2140756883537
0007F2B59E,63,11,1,3,16,0,28.07,28.21,0.140000000000001,3,17.7333333333333,1,37.1598970083625,1.31028009795847,0.492489338756755,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5457.33111111111,1.49003771781732,0.102477442168516,6.57070651090053,-0.813007146087046,1.4603871551605,-0.506012335764262,0.107793434627081,0.844706333829308,-1.41228699785898,-0.34075353508211,-0.693069417128685,2.57580371723395,0.04577865949549,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.4326706336407,0.492930840798772,-1.68583506696477,0.449060351360477,-0.514771558913501,-0.104677119059908,1.06101624342412,-1.2227250631408,1.16374078634505
0007F2E3D4,74,11,1,6,18,0,26.16,27.34,1.18,8,-16.3333333333333,7,-10.9493006993007,0.581752939300848,0.844761471081103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2596.12222222222,1.5997683420354,0.127079276356617,0.670314533302935,-3.14353985027179,-3.69246493117004,-2.71292082318207,-0.734768255455675,-1.09501209252615,-0.889579853003014,0.699238131729573,1.00701959599229,-0.117394694815897,1.53754184489649,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.833165960997222,-1.97206546688646,-4.28173278598977,-3.57917699486869,-1.90400353384404,0.74825053250172,0.767005425405951,0.662909923641923,0.563888066898538
0007F2E37E,73,11,1,10,18,0,26.1,27.34,1.24,1,28.5119047619048,3,19.3730687510612,2.52546401204644,2.79057135503794,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6574.00888888889,1.45390440856961,0.0912107072160265,6.60550807907325,0.730104838596366,3.35395041023229,1.40303764490156,-0.114038095398669,-0.638065508418519,-1.50168474792358,-0.1659405402092,0.345559416215913,2.92880679625294,3.04025082894448,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.09838981574424,0.99461136030902,-0.727882651043099,2.90990330227272,1.8532759504134,-1.57964601371601,1.16427821948766,-1.57080168740974,0.0868690178929513
